"","SEXO","EDAD_MADN","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999"
"1",1,12,30,8,6,15,13,13,17,9,22,9
"2",1,13,147,57,37,46,47,33,28,18,33,6
"3",1,14,867,213,180,183,145,69,43,24,38,21
"4",1,15,3000,645,539,489,315,172,85,62,49,26
"5",1,16,6921,1422,1149,859,512,290,170,92,97,45
"6",1,17,11359,2402,1627,1206,770,452,205,135,115,66
"7",1,18,15578,2660,1802,1488,868,529,260,155,101,89
"8",1,19,16171,2906,1946,1645,981,561,275,149,131,83
"9",1,20,17065,2870,2138,1645,1086,589,303,208,149,105
"10",1,21,16753,3063,2163,1598,1049,582,306,177,152,95
"11",1,22,16823,2863,2065,1564,1059,607,289,159,142,96
"12",1,23,15991,2742,1791,1601,1021,575,303,176,126,99
"13",1,24,15390,2582,1784,1409,1011,535,270,170,143,90
"14",1,25,14613,2374,1643,1364,884,502,232,185,128,89
"15",1,26,13793,2193,1632,1249,809,445,219,168,114,98
"16",1,27,12739,2005,1473,1130,768,483,240,132,131,86
"17",1,28,11986,1837,1280,1035,719,414,201,129,98,74
"18",1,29,10865,1628,1189,953,670,375,192,129,111,66
"19",1,30,10198,1539,1127,903,637,331,170,120,72,57
"20",1,31,9257,1392,1007,755,557,310,147,87,60,48
"21",1,32,8352,1260,859,720,496,309,146,80,59,39
"22",1,33,7414,1073,722,630,419,262,125,81,61,47
"23",1,34,6497,926,659,528,408,238,110,53,60,44
"24",1,35,5764,820,539,485,326,196,119,51,49,25
"25",1,36,4850,708,561,442,279,186,86,64,39,29
"26",1,37,4045,560,411,334,240,150,95,60,41,38
"27",1,38,3230,495,359,307,229,160,66,48,29,36
"28",1,39,2430,408,264,257,192,112,83,41,41,27
"29",1,40,1854,312,232,198,164,95,76,38,25,15
"30",1,41,1285,257,196,173,131,85,38,32,25,19
"31",1,42,941,180,148,138,78,71,33,22,7,8
"32",1,43,675,130,114,101,74,56,25,17,13,9
"33",1,44,372,88,81,51,52,33,10,20,5,6
"34",1,45,239,55,42,49,39,19,23,4,4,6
"35",1,46,144,42,31,38,24,18,12,8,4,2
"36",1,47,71,32,29,13,18,12,7,5,4,4
"37",1,48,55,11,12,10,14,8,4,6,4,1
"38",1,49,36,16,9,21,17,13,3,6,2,1
"39",1,99,1626,722,767,846,703,622,368,299,295,211
"40",2,12,22,7,5,11,13,23,13,7,25,4
"41",2,13,127,63,55,41,34,39,14,8,29,10
"42",2,14,910,175,178,176,138,83,43,36,43,14
"43",2,15,2796,635,538,480,317,174,91,55,54,30
"44",2,16,6665,1443,1135,866,551,286,136,79,78,51
"45",2,17,10879,2348,1566,1150,749,467,207,126,108,61
"46",2,18,14901,2681,1905,1505,870,491,232,131,143,95
"47",2,19,15743,2798,2012,1520,975,544,273,189,133,97
"48",2,20,16148,2898,2157,1615,1042,584,292,171,135,96
"49",2,21,16142,2825,2082,1626,1075,619,304,200,153,101
"50",2,22,16143,2836,2055,1616,1024,563,275,171,139,114
"51",2,23,15439,2674,1939,1511,986,574,281,192,133,98
"52",2,24,14866,2505,1884,1476,932,529,234,180,123,79
"53",2,25,14365,2389,1741,1409,909,511,261,167,114,85
"54",2,26,13566,2224,1655,1266,842,477,226,179,109,68
"55",2,27,12239,2059,1510,1132,766,432,221,139,100,78
"56",2,28,11715,1776,1329,1004,726,393,188,114,103,83
"57",2,29,10811,1580,1214,984,638,384,176,115,82,63
"58",2,30,10001,1476,1101,861,597,356,175,102,97,49
"59",2,31,9020,1336,1020,769,530,314,150,106,62,52
"60",2,32,8301,1236,853,717,487,285,131,89,61,57
"61",2,33,7299,1044,824,637,410,241,112,80,45,39
"62",2,34,6526,912,685,537,369,221,123,66,54,35
"63",2,35,5632,823,598,470,367,204,93,72,57,39
"64",2,36,4825,694,529,404,247,158,94,66,48,30
"65",2,37,4018,617,412,358,260,150,93,52,46,29
"66",2,38,3207,492,336,314,229,133,81,46,49,28
"67",2,39,2487,394,303,225,224,121,61,31,24,18
"68",2,40,1903,282,260,228,158,99,47,28,18,16
"69",2,41,1369,247,202,177,149,70,33,31,19,20
"70",2,42,992,193,161,153,114,56,37,17,10,13
"71",2,43,622,159,119,97,77,51,27,14,13,8
"72",2,44,392,97,80,74,61,29,18,10,7,12
"73",2,45,225,55,59,41,50,29,16,11,6,5
"74",2,46,131,42,50,36,27,11,6,7,7,2
"75",2,47,100,30,36,19,19,8,17,5,2,3
"76",2,48,67,20,23,23,21,7,8,8,6,1
"77",2,50,99,13,10,14,11,8,1,8,2,3
"78",2,99,1445,729,686,807,633,569,361,285,307,200
"79",9,99,7,9,6,10,8,8,5,2,3,2
