"","SEXO","EDAD_MADN","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975"
"1",1,12,6,2,6,4,11,9,11,16,14,25
"2",1,13,31,17,21,20,28,31,30,26,31,29
"3",1,14,263,83,63,87,98,111,73,42,50,49
"4",1,15,1197,248,253,247,317,232,130,123,106,142
"5",1,16,3518,805,633,603,540,505,307,226,208,217
"6",1,17,6891,1533,1119,956,852,919,459,397,304,264
"7",1,18,11885,2171,1424,1187,1224,1126,594,427,337,381
"8",1,19,13988,2388,1557,1572,1544,1419,711,472,422,398
"9",1,20,16261,2469,1966,1586,1701,1516,707,526,454,495
"10",1,21,14595,2819,1902,1772,1595,1291,770,503,502,414
"11",1,22,16599,2726,2013,1620,1393,1424,690,527,454,344
"12",1,23,16593,2797,1807,1350,1386,1233,739,490,362,383
"13",1,24,16976,2617,1578,1314,1328,1297,661,382,391,354
"14",1,25,15711,2123,1564,1236,1287,1159,512,407,366,495
"15",1,26,13355,2110,1375,1202,1043,918,529,372,456,463
"16",1,27,12513,1960,1400,1058,872,891,491,481,425,325
"17",1,28,11777,1825,1133,811,894,814,561,475,334,362
"18",1,29,10801,1542,852,826,776,931,553,325,311,377
"19",1,30,10959,1155,931,701,876,850,440,401,303,387
"20",1,31,6792,1264,815,797,786,696,448,362,360,281
"21",1,32,7637,1098,926,767,569,697,430,381,242,219
"22",1,33,6141,1221,838,596,614,643,423,272,185,218
"23",1,34,6536,1178,661,613,598,653,359,187,197,202
"24",1,35,6290,897,678,591,593,479,231,210,173,269
"25",1,36,4951,850,629,512,432,359,301,201,225,212
"26",1,37,4135,806,583,361,312,388,239,225,211,125
"27",1,38,4460,688,378,286,350,364,271,201,123,150
"28",1,39,3360,580,284,312,259,361,227,128,144,140
"29",1,40,2945,337,326,249,282,302,126,141,99,136
"30",1,41,1346,370,218,268,214,181,116,122,119,88
"31",1,42,1615,271,250,193,135,190,154,100,66,49
"32",1,43,1161,293,164,105,131,140,129,72,48,43
"33",1,44,926,205,103,123,136,128,67,32,39,36
"34",1,45,695,118,90,95,83,65,32,28,20,42
"35",1,46,318,102,80,58,57,39,33,19,49,25
"36",1,47,271,58,40,35,24,40,23,27,18,13
"37",1,48,219,50,28,20,25,23,26,26,9,11
"38",1,49,141,39,22,20,25,29,24,6,5,11
"39",1,50,107,19,22,24,26,32,12,8,8,14
"40",1,99,1553,405,338,361,357,372,300,265,259,288
"41",2,11,1,1,3,4,1,6,7,9,11,12
"42",2,12,9,4,4,2,8,14,17,21,21,18
"43",2,13,38,16,16,18,21,29,28,17,29,32
"44",2,14,255,67,75,71,88,114,68,45,55,56
"45",2,15,1201,275,258,265,268,252,129,138,98,145
"46",2,16,3226,779,700,604,539,452,335,244,210,236
"47",2,17,6717,1583,1090,914,843,899,467,387,330,284
"48",2,18,11316,2049,1406,1167,1173,1198,675,458,322,382
"49",2,19,13430,2358,1496,1509,1465,1470,724,443,439,394
"50",2,20,15675,2365,1908,1688,1733,1503,719,565,482,497
"51",2,21,14070,2784,2053,1746,1629,1357,709,474,517,488
"52",2,22,16338,2746,1989,1649,1423,1348,718,569,449,406
"53",2,23,16305,2925,1864,1365,1438,1258,713,486,389,398
"54",2,24,16376,2545,1521,1451,1309,1352,643,377,375,354
"55",2,25,15649,2134,1475,1268,1289,1123,513,419,370,467
"56",2,26,12905,2107,1347,1271,1019,880,512,383,403,458
"57",2,27,12235,1894,1377,1010,833,955,532,468,445,372
"58",2,28,11837,1883,1138,794,867,812,554,464,357,386
"59",2,29,10540,1683,856,848,761,911,591,363,366,345
"60",2,30,10443,1134,926,755,971,923,477,411,323,405
"61",2,31,6586,1209,782,785,808,736,438,351,386,286
"62",2,32,7479,1033,928,766,584,687,478,396,269,222
"63",2,33,6138,1308,854,645,667,660,485,306,195,232
"64",2,34,6416,1183,681,591,628,660,354,204,244,220
"65",2,35,6272,895,657,548,568,525,222,222,208,282
"66",2,36,4615,913,616,530,458,365,277,184,234,240
"67",2,37,4156,845,529,396,322,424,240,272,212,134
"68",2,38,4421,747,459,263,345,330,265,224,127,148
"69",2,39,3226,542,284,322,287,396,243,143,128,137
"70",2,40,2898,329,323,252,305,334,142,161,131,145
"71",2,41,1382,397,226,268,222,183,161,121,122,98
"72",2,42,1602,323,283,182,136,174,139,105,81,54
"73",2,43,1097,260,175,113,153,171,113,64,31,51
"74",2,44,854,229,97,104,96,113,74,32,39,26
"75",2,45,680,103,85,86,96,80,39,32,27,49
"76",2,46,343,88,78,73,51,39,25,25,31,21
"77",2,47,240,99,60,58,34,39,21,23,26,8
"78",2,48,213,60,39,32,25,33,23,19,9,14
"79",2,49,130,25,20,18,22,33,21,8,9,10
"80",2,50,122,28,21,14,31,26,8,11,8,22
"81",2,99,1446,431,336,318,323,390,280,272,252,282
"82",9,15,26,6,2,1,4,6,2,1,3,3
"83",9,16,66,11,11,12,10,8,6,2,3,8
"84",9,17,138,22,15,12,20,14,10,5,6,4
"85",9,18,245,43,21,16,15,22,14,9,8,8
"86",9,19,273,38,34,31,29,37,14,3,5,6
"87",9,20,306,51,34,23,26,28,17,7,19,10
"88",9,21,248,37,36,26,29,22,16,8,9,9
"89",9,22,301,52,33,28,19,28,18,18,9,3
"90",9,23,284,63,37,21,16,16,12,12,15,11
"91",9,24,335,37,23,21,20,15,10,5,8,12
"92",9,25,310,46,21,23,15,27,6,3,7,5
"93",9,26,246,26,25,22,19,19,9,12,5,6
"94",9,27,216,36,26,12,14,11,6,10,9,7
"95",9,28,232,31,19,13,16,14,8,6,6,11
"96",9,29,201,28,11,14,19,17,6,8,4,5
"97",9,30,226,25,23,18,4,20,5,9,11,12
"98",9,31,135,24,8,15,16,14,3,6,7,8
"99",9,32,139,22,17,11,4,14,12,8,6,7
"100",9,33,112,24,11,21,8,15,5,3,5,7
"101",9,34,137,23,9,14,13,14,5,3,7,8
"102",9,35,129,16,14,10,15,9,2,6,7,8
"103",9,36,89,11,11,8,9,4,4,5,2,5
"104",9,37,77,15,4,8,3,7,6,1,4,5
"105",9,38,103,11,3,4,9,15,10,4,2,3
"106",9,39,69,13,5,1,6,8,2,1,3,1
"107",9,40,61,10,6,4,7,3,6,3,2,3
"108",9,41,30,12,3,2,3,4,7,5,2,4
"109",9,99,56,7,14,3,5,7,7,6,5,6
