"","SEXO","EDAD_MADN","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985"
"1",1,11,7,3,1,4,4,10,8,3,5,7
"2",1,12,10,4,1,3,16,9,11,13,12,16
"3",1,13,77,48,27,32,45,35,41,31,21,20
"4",1,14,596,179,132,113,110,131,66,48,42,33
"5",1,15,2244,548,422,309,326,254,146,106,93,86
"6",1,16,5516,1347,867,661,625,543,269,160,142,121
"7",1,17,10136,2284,1388,1011,947,896,387,226,168,131
"8",1,18,14858,2807,1751,1359,1328,1117,515,301,190,202
"9",1,19,16532,3210,2111,1680,1546,1379,517,300,222,195
"10",1,20,18214,3344,2571,1924,1695,1409,600,329,270,257
"11",1,21,18135,3907,2360,1861,1536,1400,616,352,251,244
"12",1,22,19278,3689,2412,1813,1512,1398,593,349,224,214
"13",1,23,19032,3614,2345,1576,1486,1320,556,299,188,202
"14",1,24,18230,3256,2016,1612,1402,1409,530,292,238,193
"15",1,25,16900,2837,1918,1416,1431,1193,463,320,214,211
"16",1,26,15010,2790,1695,1451,1197,1083,492,256,231,179
"17",1,27,14060,2500,1687,1278,1114,1044,448,273,210,158
"18",1,28,13167,2457,1541,1072,1054,955,462,254,171,151
"19",1,29,12338,2229,1237,1075,916,1004,396,217,187,167
"20",1,30,11643,1736,1267,960,1011,912,345,254,187,147
"21",1,31,8941,1758,1108,1004,816,753,374,240,198,140
"22",1,32,8673,1496,1162,858,658,680,336,240,150,111
"23",1,33,7534,1590,969,776,741,614,328,185,114,87
"24",1,34,7323,1320,796,701,624,668,281,137,115,91
"25",1,35,6417,1142,870,648,633,532,208,143,119,89
"26",1,36,4954,1081,747,598,465,363,224,132,123,100
"27",1,37,4501,1008,719,454,369,406,204,139,99,68
"28",1,38,4012,872,531,353,339,328,222,123,64,78
"29",1,39,3238,694,390,341,295,359,159,79,84,49
"30",1,40,2679,486,390,277,291,276,126,74,51,50
"31",1,41,1646,471,287,261,225,184,121,68,48,33
"32",1,42,1430,392,288,180,171,160,87,53,31,48
"33",1,43,975,311,192,127,128,140,56,34,22,19
"34",1,44,812,201,112,96,100,102,48,23,21,13
"35",1,45,492,134,111,101,93,52,32,17,19,20
"36",1,46,276,82,73,57,44,49,21,16,25,13
"37",1,47,190,77,58,43,30,28,14,14,13,8
"38",1,48,147,57,34,29,23,23,19,13,6,8
"39",1,49,90,42,29,24,21,28,15,8,4,8
"40",1,50,327,138,134,98,97,95,51,36,37,35
"41",1,99,1056,476,415,380,396,438,282,260,182,200
"42",2,11,5,1,2,1,2,8,4,3,4,13
"43",2,12,18,4,7,6,13,12,18,12,10,19
"44",2,13,90,38,27,28,21,41,16,20,14,26
"45",2,14,638,176,114,116,111,128,58,41,36,40
"46",2,15,2198,539,384,327,328,284,129,93,72,81
"47",2,16,5196,1306,888,689,588,520,270,154,146,116
"48",2,17,9539,2215,1445,1066,921,887,380,265,169,150
"49",2,18,14105,2731,1753,1246,1345,1213,538,314,194,186
"50",2,19,15832,3070,2000,1664,1512,1332,568,322,234,193
"51",2,20,17592,3289,2471,1826,1655,1428,540,320,242,245
"52",2,21,17587,3724,2458,1871,1585,1376,596,319,280,220
"53",2,22,19135,3711,2530,1823,1461,1387,544,372,218,184
"54",2,23,18152,3535,2111,1586,1478,1414,598,325,199,193
"55",2,24,17710,3192,1900,1577,1450,1458,566,280,234,171
"56",2,25,16341,2826,1928,1435,1404,1218,465,260,229,193
"57",2,26,14605,2714,1697,1459,1214,1104,451,283,236,206
"58",2,27,13742,2409,1669,1241,1057,1096,442,311,203,179
"59",2,28,12866,2407,1516,1043,1104,998,460,262,172,168
"60",2,29,11926,2083,1348,1074,938,1051,462,200,193,161
"61",2,30,11317,1726,1300,994,1051,878,389,236,173,165
"62",2,31,8784,1635,1120,929,854,739,411,215,167,143
"63",2,32,8539,1576,1120,879,678,769,351,243,142,113
"64",2,33,7613,1558,1010,662,707,665,337,178,116,119
"65",2,34,7498,1388,854,659,680,694,263,159,121,107
"66",2,35,6240,1189,838,673,649,512,180,138,117,141
"67",2,36,5081,1150,723,629,469,373,223,128,113,80
"68",2,37,4456,995,691,470,389,403,181,178,94,76
"69",2,38,3884,868,541,353,398,328,213,115,68,64
"70",2,39,3285,706,383,341,317,359,170,87,74,52
"71",2,40,2548,490,390,326,333,272,119,92,75,64
"72",2,41,1589,460,257,264,249,178,123,66,49,43
"73",2,42,1443,319,298,220,168,174,86,65,42,29
"74",2,43,1014,318,190,133,132,133,80,36,22,21
"75",2,44,779,199,124,128,117,100,43,27,24,23
"76",2,45,512,123,114,76,80,70,38,18,20,23
"77",2,46,252,101,86,77,55,35,33,8,17,16
"78",2,47,194,86,65,33,31,42,17,18,15,4
"79",2,48,144,66,42,26,23,31,24,21,6,4
"80",2,49,81,33,30,18,21,27,12,5,8,3
"81",2,50,355,138,129,97,122,94,50,35,23,30
"82",2,99,1041,492,420,322,379,385,250,213,177,190
