"","SEXO","EDAD_MADN","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"1",1,13,81,16,10,10,9,4,1,3,1,3
"2",1,14,476,101,64,54,36,23,7,5,4,7
"3",1,15,1766,267,237,137,103,50,22,12,10,12
"4",1,16,3901,709,521,236,122,61,36,19,9,21
"5",1,17,6308,1296,649,316,191,102,39,21,12,24
"6",1,18,8587,1247,617,342,205,94,45,33,26,28
"7",1,19,9332,1156,613,382,186,109,51,37,28,15
"8",1,20,9846,1180,612,366,221,119,62,34,33,24
"9",1,21,9615,1053,613,364,230,109,62,32,31,23
"10",1,22,9309,1120,651,411,215,117,48,29,31,22
"11",1,23,9461,1140,595,346,238,106,51,31,21,21
"12",1,24,9701,1064,561,325,188,97,51,34,24,29
"13",1,25,9439,960,504,319,205,75,39,38,31,22
"14",1,26,9038,839,511,313,148,97,43,29,33,29
"15",1,27,8744,792,478,265,148,80,45,25,23,22
"16",1,28,8041,739,393,277,151,85,35,31,19,26
"17",1,29,7468,647,356,217,140,72,31,29,20,16
"18",1,30,6940,631,346,187,122,74,43,30,25,23
"19",1,31,6170,525,313,189,113,66,39,30,10,15
"20",1,32,5584,459,244,152,94,61,34,23,19,17
"21",1,33,4990,459,224,159,117,70,29,15,14,10
"22",1,34,4426,372,224,136,85,50,24,15,17,20
"23",1,35,3747,327,202,136,64,47,27,21,14,11
"24",1,36,3386,280,183,116,80,40,25,15,7,10
"25",1,37,2718,265,159,100,72,35,19,19,8,12
"26",1,38,2250,222,114,87,44,32,21,7,11,5
"27",1,39,1780,148,97,84,47,33,9,13,6,8
"28",1,40,1381,166,98,57,41,23,13,5,11,3
"29",1,41,1017,102,73,59,26,24,14,12,3,7
"30",1,42,719,76,50,31,25,27,13,3,7,3
"31",1,43,434,56,33,19,17,10,9,7,4,3
"32",1,45,163,29,17,16,10,3,7,3,1,3
"33",1,46,69,18,7,12,4,7,5,2,1,3
"34",1,99,3272,560,429,361,238,226,134,116,111,122
"35",2,12,8,4,2,1,2,3,1,2,1,1
"36",2,13,62,27,14,12,6,9,2,4,1,1
"37",2,14,473,115,75,59,44,21,8,6,5,4
"38",2,15,1603,282,252,145,91,40,16,13,6,4
"39",2,16,3709,712,509,270,128,78,33,18,13,13
"40",2,17,6003,1253,671,329,188,76,36,26,12,17
"41",2,18,8209,1222,614,347,192,113,43,26,24,29
"42",2,19,9048,1123,631,328,174,108,53,28,22,21
"43",2,20,9349,1143,620,341,206,106,54,53,25,31
"44",2,21,9295,1115,666,379,224,98,63,31,29,13
"45",2,22,9149,1058,636,374,206,112,45,33,29,22
"46",2,23,8995,1038,602,355,204,121,45,26,23,27
"47",2,24,9375,1019,584,360,197,101,42,40,21,23
"48",2,25,9185,934,529,311,201,95,42,34,19,17
"49",2,26,8737,904,491,289,153,73,47,30,22,15
"50",2,27,8387,802,437,256,158,74,39,26,24,18
"51",2,28,7768,674,443,251,165,74,30,22,19,36
"52",2,29,7279,672,361,241,121,68,50,31,19,21
"53",2,30,6732,578,345,226,125,54,37,25,21,18
"54",2,31,6074,541,307,166,107,76,37,27,23,22
"55",2,32,5356,484,291,167,97,57,37,19,19,23
"56",2,33,4852,437,221,150,95,58,35,19,16,14
"57",2,34,4208,410,231,147,103,47,25,18,18,15
"58",2,35,3756,353,177,133,65,53,25,14,19,9
"59",2,36,3200,288,207,93,64,43,20,11,10,16
"60",2,37,2647,225,166,95,60,32,23,14,9,9
"61",2,38,2129,220,138,91,47,31,17,11,8,7
"62",2,39,1764,182,104,65,42,26,15,9,11,10
"63",2,40,1377,152,93,50,46,22,12,11,5,5
"64",2,41,984,114,72,42,30,14,14,7,7,4
"65",2,42,677,93,53,29,21,14,7,7,2,2
"66",2,43,451,51,48,18,21,15,3,2,2,2
"67",2,45,142,28,18,12,6,4,4,1,1,2
"68",2,46,74,12,15,13,8,3,6,1,1,3
"69",2,99,3377,561,366,361,235,171,129,119,111,123
