"","SEXO","EDAD_MADN","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984"
"1",1,10,8,3,1,2,2,10,9,8,12,37
"2",1,11,6,1,2,7,7,4,3,8,13,21
"3",1,12,12,4,4,14,11,14,19,16,20,20
"4",1,13,86,42,45,33,36,36,33,39,31,34
"5",1,14,600,162,116,123,119,149,86,56,56,66
"6",1,15,2235,491,408,340,363,306,181,140,110,131
"7",1,16,5404,1427,949,743,618,600,338,212,179,173
"8",1,17,10134,2499,1502,1058,965,970,538,342,253,210
"9",1,18,15188,2994,1935,1435,1384,1299,638,387,265,279
"10",1,19,17350,3453,2182,1731,1634,1365,657,399,319,308
"11",1,20,19043,3820,2501,2002,1804,1443,700,486,358,318
"12",1,21,18840,4127,2667,2016,1665,1413,723,440,376,301
"13",1,22,19436,4299,2506,1886,1589,1483,666,494,322,288
"14",1,23,19943,3929,2283,1720,1522,1444,759,374,319,256
"15",1,24,18695,3496,2157,1635,1456,1518,667,383,307,322
"16",1,25,16729,3203,1985,1564,1482,1178,544,403,300,283
"17",1,26,15362,2944,1881,1538,1317,1136,558,382,323,256
"18",1,27,14347,2863,1778,1318,1172,1053,575,378,268,229
"19",1,28,13461,2638,1565,1096,1136,1108,542,342,247,255
"20",1,29,12083,2212,1319,1136,1166,1090,475,309,284,227
"21",1,30,11525,1949,1264,1139,1038,848,452,324,243,246
"22",1,31,8808,1960,1280,1007,890,813,439,295,249,186
"23",1,32,8836,1891,1152,835,739,828,443,286,176,153
"24",1,33,8390,1684,978,784,770,724,397,222,158,144
"25",1,34,7341,1411,914,773,724,682,335,150,181,149
"26",1,35,6100,1380,849,693,620,479,271,193,162,160
"27",1,36,5404,1219,803,642,451,424,266,186,146,137
"28",1,37,4691,1151,711,474,439,425,263,191,132,91
"29",1,38,4269,912,487,381,407,425,261,137,109,93
"30",1,39,3288,680,431,379,388,343,201,96,90,76
"31",1,40,2591,520,376,371,329,301,147,123,80,75
"32",1,41,1622,487,353,260,230,208,133,94,68,48
"33",1,42,1477,437,272,203,171,203,112,63,52,33
"34",1,43,1196,317,172,123,183,153,97,51,39,28
"35",1,44,778,197,135,122,127,92,61,31,24,24
"36",1,45,456,146,88,95,98,81,24,31,18,14
"37",1,46,259,106,70,61,53,40,30,19,17,16
"38",1,47,203,89,51,23,29,42,30,22,13,11
"39",1,48,170,56,30,31,25,27,28,12,12,12
"40",1,49,89,39,22,26,31,23,18,10,5,6
"41",1,50,324,183,131,103,92,94,57,42,42,20
"42",1,99,1178,481,351,329,382,392,363,312,221,234
"43",2,10,5,2,1,5,2,5,10,12,10,25
"44",2,12,12,5,6,9,10,12,14,11,15,18
"45",2,13,100,41,23,32,33,41,40,44,29,29
"46",2,14,624,163,132,99,129,148,88,68,54,62
"47",2,15,2118,559,439,371,348,325,170,122,106,116
"48",2,16,5196,1324,943,762,604,614,340,241,201,143
"49",2,17,9536,2339,1498,1115,1028,948,563,301,243,214
"50",2,18,14490,3041,1836,1468,1282,1245,656,371,269,276
"51",2,19,16518,3488,2196,1758,1682,1470,636,433,322,273
"52",2,20,18299,3740,2402,2030,1691,1529,684,466,359,319
"53",2,21,17911,3928,2567,1975,1607,1426,757,446,373,291
"54",2,22,18782,4019,2561,1891,1615,1507,752,500,343,240
"55",2,23,19335,3839,2266,1715,1573,1492,710,439,339,266
"56",2,24,18254,3417,2163,1716,1568,1515,654,365,319,308
"57",2,25,16125,3129,2089,1557,1499,1270,548,371,297,284
"58",2,26,14719,3001,1934,1570,1217,1060,551,409,298,275
"59",2,27,14363,2840,1872,1292,1178,1092,606,351,282,225
"60",2,28,13218,2631,1480,1107,1036,1201,560,329,240,265
"61",2,29,12140,2340,1353,1162,1085,1022,486,310,242,233
"62",2,30,11170,1902,1399,1117,1025,927,461,336,244,250
"63",2,31,8675,2017,1333,1022,863,795,519,330,273,194
"64",2,32,8688,1889,1146,903,790,791,446,269,189,148
"65",2,33,8397,1676,1095,824,814,789,415,259,135,147
"66",2,34,6923,1414,875,818,728,665,346,198,169,178
"67",2,35,5903,1294,886,728,698,524,263,202,177,156
"68",2,36,5265,1257,809,641,487,442,296,189,161,128
"69",2,37,4503,1093,714,498,432,428,253,198,140,112
"70",2,38,4192,978,562,375,405,431,280,154,119,114
"71",2,39,3190,712,426,397,383,370,170,115,109,97
"72",2,40,2466,559,419,368,301,282,147,123,87,86
"73",2,41,1574,495,362,265,242,228,139,87,79,44
"74",2,42,1476,448,283,205,199,226,110,69,54,26
"75",2,43,1136,312,182,165,163,148,94,44,27,39
"76",2,44,740,200,136,142,129,135,49,30,33,31
"77",2,45,478,128,110,103,88,66,38,24,24,21
"78",2,46,297,98,68,80,60,38,32,14,21,18
"79",2,47,204,96,58,35,43,53,28,18,12,11
"80",2,48,140,56,39,35,30,29,31,13,11,9
"81",2,49,97,29,21,16,31,23,8,11,5,11
"82",2,50,301,153,111,113,123,106,62,34,41,40
"83",2,99,1062,469,329,370,291,376,267,249,230,199
