"","SEXO","EDAD_MADN","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"27",1,36,23929,24503,24598,21800,20799,21540,22259,24118,23614,23370,22413,24434,23711,22230,23098,23355,22897,22589,22495,21995,22068,22553,24114,24097,23935,24832,23764,23275,22982,23101,21963,22124,21816,22010,21963,17679,20363,20826
"28",1,37,19543,18521,21911,18777,18462,18254,18339,20129,19778,20034,18770,18864,19711,19093,18770,19100,19026,18815,18528,17973,18260,18422,19388,19574,19461,20360,20201,19321,18994,18902,18370,18268,17801,17888,17984,14815,17011,17319
"29",1,38,20325,17880,18686,17684,16273,16520,15945,17208,17611,17479,16468,16552,15730,16236,16416,15809,15566,15172,15066,15051,15043,14729,15642,15517,15512,16252,17964,15448,15386,15454,14786,14881,14587,14602,14322,11908,14114,14142
"30",1,39,15040,13953,14764,12870,13199,13267,12815,13052,13240,13574,12895,12922,12601,12200,13299,12677,12016,11846,11660,11827,11547,11416,12117,11989,11662,12583,13099,12153,12075,12096,11627,11648,11339,11323,11414,9301,11106,11120
"31",1,40,13815,11757,12268,10306,9783,10463,10139,11086,10820,10789,10763,10537,10528,9849,9931,10149,9533,9141,9034,8922,8945,8857,9320,9015,8730,9237,8630,8936,9159,9211,9067,8710,8673,8587,8739,6825,8310,8349
"32",1,41,6936,6820,7762,6485,6446,6308,7009,7218,6806,6993,6825,7288,7187,6745,7088,6839,6969,6531,6378,6294,6130,6198,6689,6229,6102,6225,6098,6152,6216,6358,6327,6159,6173,6196,6129,5013,5981,5931
"33",1,42,7497,6700,7358,6080,5938,5835,5591,7095,6451,6165,5894,5779,5713,5583,5599,5201,4891,5061,5028,4632,4515,4466,4611,4458,4259,4528,4070,4144,4213,4343,4247,4174,4146,4053,4122,3318,4024,3891
"34",1,43,5622,4885,5254,4326,4156,4100,4019,4321,4706,4544,4095,4048,3901,3880,3768,3651,3432,3282,3324,3180,3137,2869,3062,2973,2862,2870,2683,2601,2508,2708,2661,2733,2481,2603,2548,2061,2561,2566
"35",1,44,4084,3569,3823,3260,3015,2952,2937,3116,2922,3164,2938,2753,2650,2429,2552,2533,2388,2133,2093,2017,1970,1812,1907,1856,1641,1857,1561,1494,1577,1510,1460,1546,1548,1505,1646,1247,1499,1570
"36",1,45,3300,2643,2834,2248,2116,2127,2048,2322,2164,1955,2079,1881,1797,1681,1703,1676,1556,1416,1308,1174,1274,1181,1212,1111,1024,1063,948,889,899,837,823,873,866,868,934,719,890,863
"37",1,46,1692,1631,1654,1399,1325,1287,1228,1405,1379,1237,1125,1310,1217,1047,1062,1082,1031,941,822,706,751,706,689,657,598,608,589,490,482,469,495,451,499,430,488,369,490,526
"38",1,47,1099,987,1222,1010,966,900,856,973,977,886,814,871,813,729,723,672,654,552,539,485,446,445,457,411,373,393,406,319,276,296,271,268,250,267,284,213,277,276
"39",1,48,1025,872,951,906,774,727,674,707,752,704,658,613,555,535,494,478,448,427,385,342,358,349,313,290,224,273,219,188,203,173,171,176,181,165,162,132,171,193
"40",1,49,656,552,651,536,553,451,443,487,488,485,459,432,399,370,366,351,359,283,244,225,242,236,262,205,197,183,165,163,147,124,127,124,98,122,103,81,113,142
"41",1,50,565,471,523,395,371,371,339,2021,1952,1901,1754,1589,1651,1504,1514,1385,1234,1110,964,872,928,962,1108,1019,426,398,475,290,274,234,263,176,198,209,215,180,243,293
"42",1,99,38593,36252,39418,43948,41882,62064,58164,48047,58724,76982,59752,51101,53267,48064,61340,76037,99981,75549,67499,63474,51888,46698,54201,50441,46414,45384,47496,33757,30987,31754,28477,25721,24648,21582,21975,30943,46633,59716
"43",2,10,215,208,267,226,270,249,259,876,967,870,876,698,647,598,819,265,289,205,238,143,119,141,210,202,126,133,163,95,109,103,109,81,189,119,105,54,86,87
"44",2,11,285,254,323,308,340,297,318,274,330,268,277,200,201,194,237,393,322,247,257,186,155,166,185,206,128,160,175,130,123,136,138,107,192,135,131,36,88,90
