"","SEXO","EDAD_MADN","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987"
"1",1,10,4,3,2,6,8,9,6,8,3,22
"2",1,12,15,8,8,9,12,23,15,8,9,18
"3",1,13,92,51,35,17,50,34,33,15,8,17
"4",1,14,672,194,153,131,148,140,71,42,25,37
"5",1,15,2312,642,488,380,392,278,151,79,61,70
"6",1,16,5692,1425,986,820,755,545,271,149,121,75
"7",1,17,9919,2578,1635,1207,1135,904,422,262,132,157
"8",1,18,14510,3154,1917,1518,1488,1191,541,269,196,145
"9",1,19,16890,3504,2128,1862,1801,1429,551,292,233,163
"10",1,20,18045,3633,2450,2016,1937,1461,668,323,230,181
"11",1,21,17780,3868,2543,2138,1822,1567,671,312,236,193
"12",1,22,18768,3960,2571,1973,1809,1487,584,340,219,183
"13",1,23,19045,3850,2260,1908,1733,1404,631,326,239,203
"14",1,24,17999,3483,2229,1772,1651,1357,620,281,200,179
"15",1,25,16511,3195,2032,1626,1596,1285,568,303,232,191
"16",1,26,15401,3023,1939,1506,1452,1272,555,290,206,163
"17",1,27,14491,2723,1761,1503,1419,1200,495,282,189,177
"18",1,28,13024,2519,1631,1241,1290,1058,501,274,219,159
"19",1,29,12007,2352,1403,1174,1234,989,464,245,191,136
"20",1,30,11512,2049,1392,1054,1095,899,455,243,163,148
"21",1,31,9468,1983,1221,1058,961,922,395,185,166,135
"22",1,32,9257,1635,1195,897,922,854,365,205,150,112
"23",1,33,7974,1599,1058,913,844,665,331,170,122,91
"24",1,34,7030,1410,1003,820,737,634,293,159,114,91
"25",1,35,5899,1422,896,701,700,555,288,161,95,76
"26",1,36,5772,1225,783,650,585,508,241,132,94,79
"27",1,37,4622,1058,702,486,540,423,212,139,83,75
"28",1,38,3790,810,579,430,417,370,178,87,89,59
"29",1,39,3262,708,464,404,369,329,168,87,61,54
"30",1,40,2624,602,418,326,339,272,160,83,71,44
"31",1,41,1808,524,270,287,278,237,130,74,37,31
"32",1,42,1461,404,226,218,226,171,73,42,37,32
"33",1,43,947,295,209,155,138,106,72,28,19,23
"34",1,44,688,206,130,110,108,104,49,27,27,19
"35",1,45,442,151,91,95,76,56,37,19,14,15
"36",1,46,332,97,64,72,52,47,28,13,14,16
"37",1,47,181,77,52,38,42,39,22,15,11,5
"38",1,48,121,41,36,28,43,28,19,8,9,5
"39",1,49,82,25,26,19,27,30,15,10,3,5
"40",1,50,279,155,120,124,121,101,55,32,20,23
"41",1,99,1238,539,464,446,468,512,376,243,208,195
"42",2,12,15,7,6,11,14,21,12,11,10,3
"43",2,13,79,45,45,29,47,44,43,19,17,9
"44",2,14,567,178,140,142,147,132,79,35,29,32
"45",2,15,2139,592,458,412,452,327,125,74,64,51
"46",2,16,5414,1489,1041,817,747,576,257,154,110,85
"47",2,17,9633,2505,1605,1152,1096,884,416,226,138,110
"48",2,18,13986,3189,1959,1420,1492,1227,523,248,191,136
"49",2,19,16070,3490,2198,1802,1742,1410,549,292,236,157
"50",2,20,17453,3596,2399,2046,2001,1494,645,310,199,201
"51",2,21,17447,3848,2633,2105,1853,1512,629,308,262,186
"52",2,22,18174,3834,2501,1942,1832,1508,590,325,224,189
"53",2,23,18119,3783,2284,1842,1808,1416,614,302,217,212
"54",2,24,17632,3335,2257,1785,1689,1405,578,292,230,150
"55",2,25,16073,3185,2172,1667,1671,1292,536,312,223,177
"56",2,26,14946,2989,1877,1596,1491,1141,562,286,206,172
"57",2,27,14148,2736,1847,1437,1337,1185,546,255,193,156
"58",2,28,12678,2430,1678,1314,1272,1092,541,246,189,148
"59",2,29,11671,2284,1480,1319,1145,976,467,287,173,128
"60",2,30,11149,1992,1455,1166,1102,884,479,237,145,118
"61",2,31,9225,1988,1260,1062,1048,864,415,200,158,98
"62",2,32,8953,1731,1233,947,984,846,368,180,139,115
"63",2,33,7695,1598,1047,909,857,697,352,169,110,98
"64",2,34,6840,1509,1051,829,769,662,280,138,145,98
"65",2,35,5748,1368,855,729,694,527,247,148,121,85
"66",2,36,5708,1183,782,656,541,509,247,134,101,72
"67",2,37,4580,1029,734,557,498,462,192,114,90,77
"68",2,38,3840,929,617,518,484,425,199,106,81,65
"69",2,39,3044,732,495,391,331,353,180,90,85,51
"70",2,40,2522,617,438,318,309,256,165,72,56,36
"71",2,41,1849,517,359,284,279,242,105,59,52,39
"72",2,42,1556,367,263,237,213,196,75,60,31,24
"73",2,43,1025,301,187,180,163,125,73,26,27,22
"74",2,44,716,191,140,114,106,95,56,23,17,16
"75",2,45,449,147,99,71,78,63,38,22,14,17
"76",2,46,310,123,71,49,62,58,19,20,5,16
"77",2,47,182,69,47,39,44,36,13,19,11,4
"78",2,48,135,45,31,28,30,32,18,8,13,9
"79",2,49,104,37,29,22,24,33,13,6,5,3
"80",2,50,266,157,142,119,119,114,69,45,32,20
"81",2,99,1135,544,434,452,465,472,332,227,179,190
