"","SEXO","EDAD_MADN","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"27",1,37,11034,10873,12309,11029,10414,10625,10430,11153,10519,10773,10179,10249,10888,10541,10440,11260,11156,11020,10877,10938,11167,11479,12225,12857,13277,13564,14285,13651,13425,13419,13313,13257,13041,13089,13199,11286,11229,11964
"28",1,38,12102,11367,10902,11776,10204,10028,9415,9610,9554,9384,9007,8707,8486,9070,8979,8996,8900,8791,8790,8851,8903,8945,9506,9961,10358,10743,12595,10886,10737,10950,10642,10734,10537,10630,10464,9015,9096,9652
"29",1,39,8408,8182,7954,7510,8078,7641,6846,6894,6846,7070,6736,6761,6333,6488,7056,6935,6506,6557,6383,6717,6735,6746,7208,7492,7654,8121,8869,8453,8399,8482,8302,8363,8173,8146,8140,7001,7259,7632
"30",1,40,8210,7630,7594,6896,6419,6844,6137,5777,5543,5438,5672,5130,5262,4950,4997,5426,4853,4866,4878,4922,5011,4986,5264,5454,5599,5735,5684,6068,6215,6358,6362,6197,6204,6120,6157,4954,5293,5560
"31",1,41,3418,3592,3502,3382,3249,3054,3579,3203,2986,3082,3175,3350,3249,3114,3320,3298,3461,3246,3103,3287,3244,3357,3703,3577,3760,3782,3809,4058,4050,4252,4318,4260,4293,4388,4263,3623,3732,3945
"32",1,42,4050,3962,4020,3665,3509,3285,2970,3677,3087,2844,2787,2650,2624,2605,2574,2454,2286,2509,2421,2330,2311,2339,2394,2437,2545,2632,2477,2729,2721,2794,2902,2834,2812,2747,2811,2315,2381,2489
"33",1,43,2966,2797,2754,2504,2336,2232,2018,1956,2197,1938,1862,1776,1730,1727,1555,1659,1449,1439,1505,1487,1453,1403,1476,1538,1568,1566,1640,1600,1540,1654,1752,1771,1623,1702,1677,1446,1461,1613
"34",1,44,1960,1894,1858,1777,1539,1485,1375,1283,1154,1383,1249,1048,1064,978,1062,1040,991,848,867,867,882,832,915,890,871,897,863,839,905,886,893,980,993,1005,1046,846,876,914
"35",1,45,1807,1515,1511,1348,1194,1192,1041,933,844,759,862,724,681,637,614,670,567,538,462,511,489,505,496,495,504,473,453,483,477,452,460,510,517,517,566,450,463,498
"36",1,46,744,879,742,720,652,589,562,540,528,469,381,507,397,345,342,375,325,332,282,248,263,257,259,251,244,245,273,235,227,218,261,243,261,252,287,233,253,266
"37",1,47,447,405,526,436,392,349,325,309,346,293,264,285,275,242,212,209,206,175,163,161,132,138,122,144,150,147,137,126,117,128,118,143,133,130,134,122,126,129
"38",1,48,502,452,475,496,387,353,286,235,282,229,236,182,175,177,147,134,119,120,107,97,107,104,95,94,72,85,72,75,66,52,71,75,87,84,70,71,68,75
"39",1,49,275,245,262,220,259,181,140,125,138,151,137,124,110,114,118,87,90,72,70,68,79,54,73,54,54,60,41,53,49,44,47,48,43,40,41,42,42,51
"40",1,50,234,242,232,168,171,174,129,577,571,498,465,436,421,374,366,296,281,239,211,209,201,207,281,239,238,218,344,161,134,115,155,89,123,128,129,126,149,187
"41",1,99,5194,4634,4275,4338,4092,4024,4004,5058,5470,5163,4963,4525,4922,4889,4914,3619,3795,4406,3581,3362,3451,3169,2821,2840,5412,2597,4134,1936,2283,1740,1960,1452,1843,1297,1907,16301,19557,24956
"42",2,11,5,8,11,12,27,17,15,8,17,22,13,6,9,10,12,8,16,19,5,4,5,7,8,7,5,6,6,5,3,6,1,2,3,3,1,1,2,7
"43",2,12,28,26,34,34,44,29,39,26,29,27,28,31,30,31,34,38,28,29,28,28,26,76,80,30,53,47,41,40,44,37,26,29,29,27,32,23,31,35
"44",2,13,122,127,124,108,121,144,144,183,195,176,157,188,187,202,206,221,215,184,170,196,221,201,248,290,347,300,323,352,325,356,330,329,304,298,262,183,224,248
"45",2,14,811,921,1030,1022,1056,1093,1181,1274,1339,1456,1353,1329,1268,1411,1437,1534,1438,1412,1277,1382,1424,1494,1762,2060,2211,2180,2047,2208,2245,2276,2207,2024,1912,1846,1693,1052,1191,1285
"46",2,15,3912,4101,4380,4500,4545,4774,4832,5019,5180,5459,5219,4690,4934,5352,5445,5574,5328,5322,4906,5038,5327,5321,6183,7133,7535,7730,7646,7596,7941,7930,7638,7171,6928,6355,5640,3716,4008,3992
"47",2,16,10753,11564,11618,12558,12327,12828,13057,12956,13486,13574,12749,12266,12136,13469,13810,13981,13240,13063,12361,12665,13055,12945,15008,16803,17871,18061,18009,18290,18048,17983,17163,16824,16255,14835,13166,8832,8674,8617
"48",2,17,20422,21188,22010,22753,23240,24115,23797,24018,24180,24251,22934,21744,21776,23061,23550,24334,23053,22257,21231,21938,21743,21406,24494,26551,28457,28175,27929,28759,28232,26926,25499,24340,24358,21944,19284,13561,13106,12187
"49",2,18,34889,35708,36457,37581,36984,38531,38886,38262,37736,37137,34455,32802,31858,33078,33496,34453,33273,32560,30392,31000,31348,30488,33967,36887,38375,38573,41697,40361,40721,39302,35347,34644,34608,32275,29863,19942,20100,19658
"50",2,19,41028,42103,42238,42878,43493,44078,44339,45145,44841,43829,41031,38882,38825,39151,40382,40684,39408,39423,37386,37696,38150,37389,40805,42811,45000,45829,46618,48403,47473,47182,43752,40425,40660,37634,36525,26975,26069,25332
"51",2,20,50361,50989,50420,51473,51039,51984,50885,52214,51971,50798,47599,44641,44248,44696,44302,45727,43629,43134,42128,41461,41364,41102,44260,45942,46883,48690,49800,50876,50385,49819,47714,44747,42569,40053,38116,30560,29805,28841
"52",2,21,45545,47560,47267,47123,47614,48463,49608,48971,49505,50310,48336,46075,45228,45936,46280,45992,45000,43382,42924,43215,42149,41817,45003,46657,47363,47868,49000,50401,50729,50101,48624,46686,44317,40714,38946,30597,31136,30525
