"","SEXO","EDAD_MADN","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979"
"1",1,11,11,1,3,7,8,9,9,6,47,9
"2",1,12,35,5,3,12,24,27,19,17,29,15
"3",1,13,284,45,41,50,60,63,64,21,51,24
"4",1,14,1203,163,133,135,141,170,65,60,79,47
"5",1,15,3745,571,468,326,373,263,189,118,119,107
"6",1,16,7182,1440,771,685,460,548,322,213,199,138
"7",1,17,12912,1891,1227,743,767,796,432,286,208,200
"8",1,18,14403,2364,1137,1109,1058,1058,531,272,257,263
"9",1,19,16818,2131,1451,1311,1240,1100,525,307,299,255
"10",1,20,14863,2651,1715,1400,1260,1043,515,301,297,368
"11",1,21,17075,2786,1667,1455,1113,960,565,293,345,175
"12",1,22,17928,2850,1665,1250,1059,1043,477,385,187,257
"13",1,23,17191,2570,1415,1064,1118,990,532,234,277,228
"14",1,24,15845,2270,1288,1173,1020,994,300,285,245,227
"15",1,25,14015,2077,1374,1071,1171,564,428,264,246,273
"16",1,26,12488,2074,1172,1114,623,773,355,228,269,220
"17",1,27,13103,1793,1303,675,786,633,336,297,225,174
"18",1,28,11458,2116,718,855,676,635,406,210,189,250
"19",1,29,11550,1115,922,692,625,687,314,157,239,192
"20",1,30,7052,1403,779,650,693,550,236,245,191,232
"21",1,31,8140,1159,694,730,584,451,329,173,204,84
"22",1,32,6984,1126,759,497,437,547,261,224,97,155
"23",1,33,6276,1266,670,423,544,455,321,104,138,125
"24",1,34,6141,908,493,552,447,505,132,135,116,97
"25",1,35,4997,816,612,407,477,247,223,128,102,161
"26",1,36,3888,950,465,470,228,307,149,97,149,91
"27",1,37,4712,748,504,207,322,298,162,143,76,80
"28",1,38,3235,763,213,278,237,229,197,85,82,89
"29",1,39,2874,326,286,207,235,281,134,85,100,67
"30",1,40,1351,416,216,209,219,162,109,87,68,73
"31",1,41,1517,312,214,208,129,141,104,60,69,30
"32",1,42,1107,253,197,126,99,145,68,61,22,36
"33",1,43,796,259,101,88,123,81,75,19,19,22
"34",1,44,694,157,78,104,87,86,23,23,15,22
"35",1,45,372,89,87,54,66,31,29,17,8,28
"36",1,46,243,108,50,55,22,41,14,14,22,14
"37",1,47,249,66,47,18,28,31,14,17,8,5
"38",1,48,114,55,17,23,29,36,18,15,9,6
"39",1,49,115,15,22,13,17,26,10,2,9,8
"40",1,50,44,22,16,10,20,10,4,8,5,14
"41",1,99,1379,480,363,323,368,340,265,254,253,216
"42",2,10,8,3,2,2,1,5,8,5,22,11
"43",2,11,11,1,2,6,10,19,6,7,35,9
"44",2,12,31,6,8,8,20,29,17,19,30,13
"45",2,13,218,47,36,54,61,49,50,24,45,25
"46",2,14,1239,187,113,168,140,191,75,39,78,52
"47",2,15,3578,525,461,342,376,261,196,122,122,109
"48",2,16,6898,1373,766,712,491,536,296,213,205,145
"49",2,17,12186,1756,1167,745,803,796,423,274,235,182
"50",2,18,13787,2344,1166,1065,1081,1023,541,275,273,279
"51",2,19,16402,2059,1454,1331,1185,1125,475,303,331,262
"52",2,20,14180,2551,1673,1391,1306,1077,468,347,297,344
"53",2,21,16323,2693,1598,1406,1159,1002,550,331,366,203
"54",2,22,17408,2759,1601,1171,1083,1062,471,361,199,292
"55",2,23,16476,2491,1434,1116,1102,1018,609,223,268,234
"56",2,24,15865,2261,1358,1143,1113,1129,312,265,268,229
"57",2,25,13652,2083,1387,1064,1093,646,416,260,231,257
"58",2,26,12342,2173,1201,1162,661,815,368,249,274,227
"59",2,27,12937,1820,1217,627,793,725,342,268,249,165
"60",2,28,11263,2047,711,785,749,661,418,251,162,234
"61",2,29,11282,1141,926,705,648,675,312,196,225,197
"62",2,30,6900,1482,789,675,736,569,251,258,167,255
"63",2,31,7962,1227,730,689,541,460,354,197,219,100
"64",2,32,6881,1068,828,626,437,617,313,221,78,150
"65",2,33,6147,1142,710,469,604,476,310,95,114,128
"66",2,34,5959,1017,511,521,443,489,125,142,104,108
"67",2,35,4948,830,660,477,529,243,213,116,104,172
"68",2,36,3859,1010,498,477,204,369,147,90,139,111
"69",2,37,4545,734,500,239,299,291,172,149,78,78
"70",2,38,3280,747,260,288,241,240,204,90,71,89
"71",2,39,3042,334,304,213,236,286,119,54,82,85
"72",2,40,1374,418,237,197,250,186,100,88,63,96
"73",2,41,1591,287,212,226,147,114,99,67,63,23
"74",2,42,1096,262,203,123,115,134,72,61,16,33
"75",2,43,837,244,130,90,107,99,80,24,32,18
"76",2,44,674,152,91,99,99,94,30,24,18,19
"77",2,45,369,80,82,59,76,41,28,11,17,21
"78",2,46,209,101,50,61,32,32,17,15,19,21
"79",2,47,244,59,44,28,34,42,24,12,8,9
"80",2,48,148,57,17,24,17,25,22,6,4,6
"81",2,49,116,18,17,26,21,29,14,8,9,7
"82",2,50,30,31,26,21,17,18,9,9,4,12
"83",2,99,1271,505,365,342,329,349,269,239,268,171
