"","SEXO","EDAD_MADN","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986"
"1",1,11,1,1,1,6,5,21,5,3,1,12
"2",1,12,14,3,8,8,15,17,8,7,5,4
"3",1,13,101,32,32,27,46,55,28,14,14,18
"4",1,14,633,173,107,125,126,150,55,28,26,35
"5",1,15,2415,591,452,359,391,335,105,84,66,61
"6",1,16,5759,1482,992,762,682,541,234,148,133,109
"7",1,17,10625,2464,1427,1135,1016,983,401,215,164,119
"8",1,18,15280,2997,1874,1390,1413,1218,513,249,190,167
"9",1,19,17281,3442,2105,1877,1775,1366,562,275,201,152
"10",1,20,18624,3571,2529,2120,1737,1500,564,305,187,199
"11",1,21,18817,3965,2513,2099,1794,1386,550,296,229,168
"12",1,22,19683,4042,2382,1863,1662,1380,548,307,247,191
"13",1,23,20126,3675,2334,1836,1625,1315,578,297,187,176
"14",1,24,18515,3401,2062,1747,1463,1371,559,288,212,148
"15",1,25,17611,3022,1936,1614,1569,1247,470,273,224,173
"16",1,26,15651,2890,1794,1641,1312,1118,514,262,206,176
"17",1,27,14535,2744,1726,1338,1205,1121,478,265,202,146
"18",1,28,13567,2664,1542,1201,1143,1035,443,279,164,160
"19",1,29,12450,2345,1322,1215,995,949,462,202,193,131
"20",1,30,11917,1933,1330,1068,966,1027,406,232,166,118
"21",1,31,9337,1901,1185,942,992,776,348,186,160,122
"22",1,32,9176,1608,1061,989,840,766,345,181,127,91
"23",1,33,8085,1452,1089,805,759,663,315,177,96,86
"24",1,34,6872,1510,909,775,683,644,285,155,126,81
"25",1,35,6751,1295,861,653,627,524,228,119,89,92
"26",1,36,5783,1170,769,619,507,459,248,114,96,81
"27",1,37,4586,1015,648,530,463,362,188,112,87,64
"28",1,38,4262,901,603,378,399,377,188,129,60,62
"29",1,39,3232,721,445,365,326,322,165,77,67,42
"30",1,40,2791,571,398,305,301,338,142,85,64,56
"31",1,41,1850,467,315,272,279,199,102,66,48,30
"32",1,42,1468,375,248,242,194,166,92,49,35,29
"33",1,43,1016,264,212,147,139,156,77,39,27,16
"34",1,44,728,221,143,121,123,94,47,37,18,10
"35",1,45,524,122,114,78,76,68,26,15,16,11
"36",1,46,284,106,72,75,53,39,23,17,17,21
"37",1,47,198,91,47,52,40,39,15,12,11,12
"38",1,48,167,51,39,35,36,20,14,14,4,6
"39",1,49,95,38,32,25,17,19,18,10,6,5
"40",1,50,333,132,93,122,107,80,56,25,23,22
"41",1,99,1220,554,472,479,450,544,346,276,199,212
"42",2,10,1,3,2,1,6,9,1,8,8,19
"43",2,12,14,10,5,5,12,20,8,8,12,9
"44",2,13,96,38,38,31,28,61,26,11,14,13
"45",2,14,624,179,150,146,121,126,54,32,26,27
"46",2,15,2343,531,427,359,333,311,122,94,55,55
"47",2,16,5463,1407,965,789,697,579,236,158,115,92
"48",2,17,10081,2372,1484,1112,955,894,396,194,130,128
"49",2,18,14753,3023,1808,1455,1423,1241,487,297,166,160
"50",2,19,16631,3505,2054,1776,1674,1444,484,318,233,157
"51",2,20,18256,3376,2479,2027,1726,1456,562,301,229,221
"52",2,21,18529,3809,2488,1939,1710,1519,585,289,247,196
"53",2,22,19147,3894,2411,1903,1664,1474,521,341,236,176
"54",2,23,19881,3598,2228,1814,1550,1352,610,314,202,193
"55",2,24,17843,3387,2094,1689,1603,1389,523,260,223,156
"56",2,25,17043,3078,1971,1650,1496,1291,468,285,195,183
"57",2,26,15329,2744,1814,1523,1365,1101,506,275,220,189
"58",2,27,14139,2716,1756,1405,1224,1138,482,231,221,146
"59",2,28,13259,2455,1572,1308,1153,1019,414,260,179,154
"60",2,29,12300,2266,1358,1192,999,906,511,225,164,140
"61",2,30,11860,1925,1386,1114,962,1010,380,217,182,154
"62",2,31,9350,1915,1210,1036,1027,849,383,194,164,131
"63",2,32,9015,1594,1112,1023,810,770,349,203,135,113
"64",2,33,7839,1545,1116,856,735,681,341,168,128,99
"65",2,34,6892,1524,977,770,684,641,303,147,116,90
"66",2,35,6700,1264,855,730,661,557,236,125,82,85
"67",2,36,5538,1113,787,648,569,471,204,119,115,102
"68",2,37,4477,1051,682,502,437,389,204,134,105,66
"69",2,38,4166,925,579,452,420,365,176,105,69,66
"70",2,39,3254,740,441,410,351,348,183,89,69,50
"71",2,40,2684,557,388,331,306,292,136,86,55,49
"72",2,41,1787,441,322,293,276,227,118,59,51,35
"73",2,42,1458,365,273,210,182,175,103,61,31,16
"74",2,43,1069,272,248,161,133,133,60,46,14,17
"75",2,44,690,227,126,128,109,102,44,21,18,12
"76",2,45,541,132,108,94,83,61,30,31,20,15
"77",2,46,297,109,82,59,50,35,35,11,7,6
"78",2,47,179,73,52,45,39,29,20,11,10,6
"79",2,48,148,49,37,27,33,26,12,8,9,6
"80",2,49,91,30,30,26,30,24,22,8,11,6
"81",2,50,318,146,105,110,128,101,45,34,25,24
"82",2,99,1121,503,463,434,440,486,280,244,203,192
