"","SEXO","EDAD_MADN","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996"
"1",1,12,20,8,5,7,10,18,8,4,4,5
"2",1,13,127,55,46,43,46,50,17,18,10,8
"3",1,14,760,232,191,202,156,117,63,28,23,20
"4",1,15,2717,662,601,593,420,254,106,57,46,26
"5",1,16,6309,1473,1197,1043,736,423,153,96,75,36
"6",1,17,10662,2586,1806,1416,963,576,254,148,110,71
"7",1,18,15064,3026,2028,1657,1236,742,308,162,101,81
"8",1,19,16622,3241,2378,1884,1300,784,331,173,116,95
"9",1,20,17634,3438,2424,1977,1409,818,357,191,136,95
"10",1,21,17732,3439,2398,1928,1386,771,338,182,120,110
"11",1,22,17615,3354,2431,1832,1323,737,300,195,105,95
"12",1,23,17531,3179,2243,1743,1294,760,269,180,119,92
"13",1,24,16152,3030,2015,1642,1209,668,324,162,134,91
"14",1,25,15847,2745,1928,1522,1102,649,282,145,120,91
"15",1,26,14705,2561,1724,1437,994,556,279,174,102,75
"16",1,27,13606,2363,1617,1269,947,593,269,150,107,69
"17",1,28,13123,2091,1450,1217,858,518,222,155,104,77
"18",1,29,11911,1911,1357,1138,831,471,224,108,100,66
"19",1,30,11021,1752,1188,993,801,459,218,107,70,60
"20",1,31,9732,1509,1066,847,684,401,207,105,95,64
"21",1,32,9017,1454,920,834,584,408,181,124,79,60
"22",1,33,8523,1216,826,686,543,342,166,111,58,52
"23",1,34,6832,1107,747,598,485,290,159,85,69,51
"24",1,35,5888,901,684,550,436,302,125,100,44,48
"25",1,36,4962,821,655,468,407,211,143,78,51,30
"26",1,37,4155,708,534,474,331,223,108,64,44,32
"27",1,38,3376,671,442,365,310,184,102,61,42,26
"28",1,39,2648,513,392,338,236,146,105,45,33,31
"29",1,40,2192,440,322,243,204,150,72,37,23,19
"30",1,41,1485,353,250,205,201,113,52,32,29,15
"31",1,42,1072,244,210,173,136,97,38,24,16,15
"32",1,43,680,173,153,119,120,56,33,21,19,10
"33",1,44,434,128,94,83,72,38,19,13,13,9
"34",1,45,303,77,77,48,43,38,11,11,10,3
"35",1,46,155,51,44,45,39,19,16,11,5,5
"36",1,47,92,35,37,28,26,22,9,8,7,2
"37",1,48,61,32,31,23,21,20,7,7,8,6
"38",1,50,166,71,61,81,58,55,38,27,19,14
"39",1,99,1100,523,527,552,540,505,277,193,160,145
"40",2,12,20,8,9,10,14,24,7,8,10,5
"41",2,13,121,55,41,38,57,34,26,10,7,11
"42",2,14,784,218,142,203,169,121,43,26,22,8
"43",2,15,2629,603,536,531,414,248,104,59,40,37
"44",2,16,5998,1416,1184,1075,725,456,170,102,64,45
"45",2,17,10138,2486,1857,1435,1018,626,245,131,97,67
"46",2,18,14409,2949,2130,1716,1188,722,288,179,116,79
"47",2,19,16167,3275,2267,1930,1328,769,324,197,133,81
"48",2,20,16906,3256,2482,1910,1330,843,340,173,121,77
"49",2,21,17107,3418,2473,1971,1379,791,368,202,128,90
"50",2,22,17086,3380,2301,1910,1281,765,344,176,125,91
"51",2,23,16975,3204,2245,1852,1230,711,301,180,106,99
"52",2,24,15789,2927,2137,1589,1169,653,306,157,112,92
"53",2,25,15363,2756,1888,1519,1126,663,264,149,102,77
"54",2,26,14211,2575,1807,1401,1072,590,280,147,117,94
"55",2,27,13287,2276,1590,1272,907,590,285,136,98,83
"56",2,28,12866,2149,1459,1224,876,536,221,145,100,76
"57",2,29,11579,1992,1300,1121,811,498,218,133,80,56
"58",2,30,10806,1743,1272,977,737,431,211,130,86,69
"59",2,31,9706,1559,1105,882,700,410,186,112,68,57
"60",2,32,8702,1484,980,802,597,371,169,96,75,54
"61",2,33,7968,1186,945,762,525,326,151,117,73,52
"62",2,34,6749,1045,747,628,465,297,166,99,71,44
"63",2,35,5684,918,718,604,433,267,134,96,54,49
"64",2,36,4940,808,608,544,385,287,123,69,61,38
"65",2,37,3975,700,599,469,368,225,87,64,45,27
"66",2,38,3362,564,468,389,285,194,89,60,36,29
"67",2,39,2668,544,376,330,236,173,78,57,33,19
"68",2,40,2003,414,360,283,218,148,74,36,22,23
"69",2,41,1509,352,246,218,192,102,53,28,17,24
"70",2,42,1115,255,199,211,134,94,40,30,19,13
"71",2,43,736,185,158,101,115,60,32,26,15,10
"72",2,44,505,149,91,77,79,47,20,6,18,7
"73",2,45,274,83,63,55,52,36,12,11,7,4
"74",2,46,192,52,62,44,24,25,20,7,5,1
"75",2,47,104,42,35,30,17,14,9,6,7,3
"76",2,48,77,29,18,16,13,14,8,5,6,3
"77",2,50,157,87,72,87,66,38,29,25,20,24
"78",2,99,1085,533,474,526,505,474,241,178,138,143
