"","SEXO","EDAD_MADN","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"1",1,12,15,5,3,5,6,6,5,7,7,6
"2",1,13,141,27,36,24,21,13,10,13,12,5
"3",1,14,867,190,128,104,74,41,30,16,18,18
"4",1,15,2993,527,385,304,179,82,41,37,26,27
"5",1,16,6563,1118,782,519,309,155,103,44,31,27
"6",1,17,10411,1933,1010,689,369,212,103,86,58,39
"7",1,18,13851,2045,1072,699,411,245,117,91,52,75
"8",1,19,14472,1929,1138,770,458,222,150,89,67,61
"9",1,20,15638,1951,1134,802,472,271,131,108,66,69
"10",1,21,15891,1902,1136,780,479,272,142,110,81,68
"11",1,22,15419,2004,1094,808,457,276,123,100,78,74
"12",1,23,15210,1882,1026,702,425,259,138,98,86,67
"13",1,24,14251,1705,970,703,424,241,137,101,64,65
"14",1,25,13558,1573,873,585,426,218,135,93,82,49
"15",1,26,12424,1374,833,555,376,203,116,88,56,61
"16",1,27,11250,1266,708,542,348,187,98,76,66,53
"17",1,28,10727,1197,662,502,302,171,99,85,58,55
"18",1,29,9675,1038,587,462,312,177,83,85,65,47
"19",1,30,8984,901,549,419,252,188,76,63,54,44
"20",1,31,8008,842,509,369,247,147,57,56,50,38
"21",1,32,7184,756,457,317,216,129,55,65,43,34
"22",1,33,6655,697,360,285,218,128,62,53,36,35
"23",1,34,5635,620,331,229,174,102,60,60,28,27
"24",1,35,5023,566,326,251,180,91,51,40,26,28
"25",1,36,4287,484,308,217,156,80,52,30,26,15
"26",1,37,3680,405,261,173,118,79,51,28,17,20
"27",1,38,3002,345,212,165,104,61,30,25,16,20
"28",1,39,2317,285,171,146,87,49,45,21,19,17
"29",1,40,1734,228,121,114,90,56,26,18,13,11
"30",1,41,1326,190,88,71,56,35,15,9,11,8
"31",1,42,888,133,75,69,45,32,13,15,11,4
"32",1,43,616,101,56,47,27,20,17,12,4,7
"33",1,44,339,61,30,37,25,11,6,6,6,6
"34",1,45,202,40,29,13,10,16,6,3,2,2
"35",1,46,94,17,14,16,8,9,7,4,3,2
"36",1,49,18,6,7,7,5,8,5,3,1,1
"37",1,50,42,8,4,5,3,2,1,2,1,1
"38",1,99,748,312,305,280,259,265,228,234,236,291
"39",2,12,14,8,5,3,3,6,1,3,6,5
"40",2,13,121,31,35,23,15,13,13,9,3,6
"41",2,14,826,152,105,108,83,48,28,17,22,16
"42",2,15,2943,489,374,292,157,88,48,35,31,23
"43",2,16,6236,1079,792,529,262,114,76,64,29,27
"44",2,17,10057,1929,950,660,381,207,105,70,51,37
"45",2,18,13328,1949,1082,677,408,240,124,80,47,56
"46",2,19,13880,1976,1110,803,449,244,125,89,69,53
"47",2,20,15095,1983,1097,785,466,261,123,93,84,73
"48",2,21,15028,1971,1150,834,480,264,136,105,64,66
"49",2,22,15068,1945,1133,877,456,263,128,92,79,61
"50",2,23,14571,1854,1046,728,433,245,120,95,61,68
"51",2,24,13712,1723,947,642,379,239,126,88,86,64
"52",2,25,12891,1450,892,605,374,225,103,79,87,64
"53",2,26,11952,1371,812,628,363,200,112,79,75,56
"54",2,27,10869,1290,759,566,347,189,88,68,53,52
"55",2,28,10434,1211,630,459,303,185,99,73,44,55
"56",2,29,9721,1025,625,409,316,185,94,87,44,51
"57",2,30,8684,945,575,412,263,152,76,55,57,41
"58",2,31,8005,815,528,350,233,143,85,74,40,46
"59",2,32,7116,791,446,313,239,136,76,46,42,36
"60",2,33,6384,662,393,315,214,109,65,44,39,29
"61",2,34,5649,645,366,288,196,118,60,36,29,30
"62",2,35,4880,530,373,262,164,90,54,51,33,23
"63",2,36,4149,533,300,220,141,76,56,45,22,27
"64",2,37,3538,437,237,189,133,77,44,27,35,23
"65",2,38,2965,327,205,154,107,72,29,44,16,19
"66",2,39,2342,260,167,150,98,55,31,24,10,13
"67",2,40,1791,219,140,136,66,46,24,24,11,13
"68",2,41,1325,155,101,72,49,36,14,18,6,11
"69",2,42,870,173,87,53,44,39,15,11,8,6
"70",2,43,596,86,57,45,27,20,13,13,6,7
"71",2,44,334,57,32,35,25,17,5,7,7,5
"72",2,45,215,39,24,28,20,9,11,4,9,4
"73",2,46,113,30,11,11,4,6,10,3,5,2
"74",2,49,25,6,5,6,7,4,1,4,3,1
"75",2,50,53,9,5,4,4,1,2,1,1,1
"76",2,99,721,364,255,254,244,265,244,242,248,245
