"","SEXO","EDAD_MADN","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"1",1,12,24,4,7,10,16,8,9,9,7,11
"2",1,13,162,57,38,35,30,24,9,9,12,6
"3",1,14,953,193,131,131,95,66,36,33,20,17
"4",1,15,3274,664,468,365,225,115,73,57,45,27
"5",1,16,7308,1448,944,631,392,221,154,69,56,54
"6",1,17,12092,2442,1241,878,515,296,155,95,71,66
"7",1,18,16448,2472,1422,957,659,358,193,125,77,71
"8",1,19,17162,2513,1429,998,611,382,204,146,119,85
"9",1,20,18103,2590,1481,1013,659,410,240,140,113,82
"10",1,21,17571,2572,1400,981,666,407,234,154,146,89
"11",1,22,17091,2376,1334,1001,665,404,215,173,127,90
"12",1,23,16220,2226,1283,940,629,417,211,162,129,111
"13",1,24,14890,2055,1197,893,586,352,210,124,101,84
"14",1,25,13976,1882,1088,759,549,368,197,123,96,110
"15",1,26,13277,1725,1024,746,557,299,177,117,86,87
"16",1,27,12287,1546,921,679,482,306,163,119,95,87
"17",1,28,11434,1456,829,649,490,289,143,103,92,73
"18",1,29,10416,1344,750,569,400,264,141,103,70,46
"19",1,30,9729,1203,652,491,325,240,151,90,63,57
"20",1,31,8660,1092,639,452,342,224,106,71,55,52
"21",1,32,7770,983,528,394,307,198,112,84,60,47
"22",1,33,6940,806,522,363,283,187,98,80,57,47
"23",1,34,6109,738,467,328,248,145,87,72,40,40
"24",1,35,5547,691,404,291,229,126,91,67,41,40
"25",1,36,4618,566,393,266,199,122,84,40,41,27
"26",1,37,3827,503,339,228,151,116,53,40,39,33
"27",1,38,3209,403,270,182,129,99,49,38,29,34
"28",1,39,2543,334,206,140,114,72,51,33,34,18
"29",1,40,1988,279,189,120,94,69,34,23,18,21
"30",1,41,1403,227,145,90,73,49,32,23,14,11
"31",1,42,947,138,92,70,61,36,24,15,8,13
"32",1,43,583,96,65,52,43,22,18,7,15,9
"33",1,44,367,68,61,29,27,18,16,14,10,14
"34",1,45,191,39,39,29,20,21,7,11,11,6
"35",1,46,119,16,21,24,14,10,6,5,2,2
"36",1,47,60,17,13,13,9,10,5,5,3,3
"37",1,48,40,18,12,14,9,4,5,5,6,2
"38",1,49,23,16,14,7,7,5,3,1,2,3
"39",1,50,77,9,12,6,6,3,3,1,1,3
"40",1,99,966,398,408,545,465,499,345,290,231,215
"41",2,12,23,4,6,12,14,15,14,6,6,7
"42",2,13,145,55,34,34,30,20,16,8,9,7
"43",2,14,914,213,164,128,113,46,39,33,20,19
"44",2,15,3053,652,463,369,219,109,70,54,34,31
"45",2,16,7094,1429,987,615,378,205,123,79,61,45
"46",2,17,11515,2375,1242,818,532,289,140,101,78,79
"47",2,18,15935,2544,1360,1007,599,345,195,125,84,83
"48",2,19,16725,2444,1384,982,540,381,206,148,124,72
"49",2,20,17446,2481,1504,1018,658,445,233,171,115,110
"50",2,21,17227,2524,1348,972,653,450,230,158,126,98
"51",2,22,16701,2370,1329,979,656,399,230,174,113,79
"52",2,23,15525,2173,1251,876,605,406,210,145,124,95
"53",2,24,14192,1983,1246,886,583,363,231,158,101,75
"54",2,25,13721,1910,1119,821,590,350,191,121,101,83
"55",2,26,12816,1727,1050,818,515,336,171,120,94,92
"56",2,27,11959,1496,920,657,484,304,161,121,85,90
"57",2,28,11167,1495,876,625,487,285,147,109,98,73
"58",2,29,10223,1335,757,557,396,254,141,96,76,58
"59",2,30,9525,1221,729,524,340,243,119,99,73,45
"60",2,31,8263,1106,666,456,358,191,119,79,64,49
"61",2,32,7627,954,546,430,297,195,117,69,48,52
"62",2,33,6842,865,529,367,278,157,98,64,55,52
"63",2,34,5993,771,444,320,233,156,96,67,52,36
"64",2,35,5280,639,400,305,214,143,91,44,40,32
"65",2,36,4548,567,333,254,188,128,81,36,38,28
"66",2,37,3744,463,309,241,180,121,67,32,18,31
"67",2,38,3264,427,278,171,146,93,39,39,27,28
"68",2,39,2504,365,203,189,108,69,52,24,31,15
"69",2,40,1886,285,149,148,96,61,36,29,20,14
"70",2,41,1331,234,134,104,83,52,31,22,14,12
"71",2,42,973,170,103,71,61,42,28,13,10,10
"72",2,43,615,103,73,60,45,24,17,12,7,3
"73",2,44,385,71,44,34,26,22,13,8,7,2
"74",2,45,205,52,30,31,17,8,11,11,7,2
"75",2,46,97,31,22,19,14,11,6,5,4,5
"76",2,47,51,17,18,12,12,17,9,8,2,4
"77",2,48,37,5,13,10,5,7,4,2,1,1
"78",2,99,850,391,404,517,466,443,299,259,249,212
