"","SEXO","EDAD_MADN","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"1",1,12,10,8,8,8,6,11,8,10,4,9
"2",1,13,107,38,44,38,47,28,17,15,8,6
"3",1,14,738,203,157,148,195,106,63,27,15,21
"4",1,15,2607,686,512,424,432,246,106,57,29,26
"5",1,16,6099,1502,1157,810,756,460,153,108,72,45
"6",1,17,10882,2553,1644,1203,1049,579,254,142,91,66
"7",1,18,15100,3018,1903,1481,1283,759,308,170,107,89
"8",1,19,17274,3351,2096,1655,1452,875,331,199,119,83
"9",1,20,18434,3474,2255,1629,1531,766,357,221,131,105
"10",1,21,18410,3553,2214,1655,1503,796,338,177,143,95
"11",1,22,18872,3374,2091,1650,1505,777,300,203,121,96
"12",1,23,18070,3230,2037,1549,1313,762,269,185,120,99
"13",1,24,17412,2944,1983,1469,1322,684,324,170,134,90
"14",1,25,16810,2755,1781,1388,1181,701,282,161,121,89
"15",1,26,15530,2610,1662,1312,1054,616,279,166,132,98
"16",1,27,14774,2438,1555,1253,1014,592,269,173,105,86
"17",1,28,13150,2209,1374,1045,942,516,222,150,97,74
"18",1,29,12225,1983,1226,1011,837,516,224,137,84,66
"19",1,30,11223,1724,1193,972,823,446,218,137,89,57
"20",1,31,9394,1537,997,825,736,405,207,130,85,48
"21",1,32,8591,1417,941,753,641,370,181,95,73,39
"22",1,33,7431,1297,834,719,578,362,166,95,55,47
"23",1,34,6775,1212,769,655,508,320,159,87,67,44
"24",1,35,5760,1035,713,580,497,299,125,74,64,25
"25",1,36,5065,905,641,529,433,243,143,59,45,29
"26",1,37,4110,797,559,416,345,212,108,64,32,38
"27",1,38,3487,674,446,351,328,206,102,37,35,36
"28",1,39,3043,593,428,326,285,205,105,56,32,27
"29",1,40,2402,443,359,260,240,142,72,47,22,15
"30",1,41,1574,402,219,211,189,98,52,27,11,19
"31",1,42,1300,278,201,178,140,87,38,34,17,8
"32",1,43,872,234,151,123,112,70,33,18,11,9
"33",1,44,620,165,123,100,94,64,19,13,10,6
"34",1,45,379,104,70,68,51,37,11,12,8,6
"35",1,46,228,96,43,44,29,35,16,8,5,2
"36",1,47,149,63,40,35,28,16,9,11,4,4
"37",1,99,1094,440,478,372,473,395,277,227,231,211
"38",2,12,16,5,8,9,13,14,7,6,4,4
"39",2,13,114,41,37,28,59,32,26,15,17,10
"40",2,14,730,189,187,156,163,117,43,31,26,14
"41",2,15,2506,614,514,421,402,236,104,56,38,30
"42",2,16,5848,1397,1075,806,767,417,170,105,69,51
"43",2,17,10488,2454,1481,1158,1049,568,245,144,96,61
"44",2,18,14554,2882,1861,1373,1341,697,288,167,122,95
"45",2,19,16254,3355,2140,1622,1489,812,324,219,138,97
"46",2,20,17710,3420,2313,1663,1544,816,340,187,131,96
"47",2,21,17538,3457,2295,1658,1365,765,368,216,118,101
"48",2,22,18397,3442,2222,1572,1336,861,344,180,144,114
"49",2,23,17822,3208,1998,1579,1387,729,301,172,127,98
"50",2,24,16986,2937,1931,1428,1231,696,306,162,114,79
"51",2,25,16717,2653,1796,1361,1184,655,264,161,112,85
"52",2,26,15108,2520,1698,1254,1056,585,280,170,102,68
"53",2,27,13994,2476,1580,1256,945,578,285,165,120,78
"54",2,28,12945,2183,1371,1041,953,564,221,164,85,83
"55",2,29,11809,1933,1291,1031,844,481,218,141,87,63
"56",2,30,10830,1689,1154,920,744,432,211,116,99,49
"57",2,31,9037,1573,1016,804,677,420,186,106,77,52
"58",2,32,8365,1415,880,740,627,349,169,111,69,57
"59",2,33,7562,1275,886,693,544,356,151,90,64,39
"60",2,34,6671,1181,759,625,537,319,166,95,49,35
"61",2,35,5933,993,753,573,502,294,134,96,53,39
"62",2,36,4871,904,606,498,417,274,123,69,45,30
"63",2,37,4049,803,560,411,342,248,87,70,28,29
"64",2,38,3570,682,453,350,307,197,89,43,35,28
"65",2,39,3035,627,400,331,286,183,78,44,39,18
"66",2,40,2302,438,342,302,228,151,74,40,23,16
"67",2,41,1574,366,247,238,159,95,53,31,24,20
"68",2,42,1308,295,188,148,133,93,40,23,17,13
"69",2,43,918,212,175,124,93,53,32,20,8,8
"70",2,44,608,157,130,113,85,47,20,17,9,12
"71",2,45,411,120,75,71,63,27,12,20,6,5
"72",2,46,229,79,62,43,37,27,20,7,7,2
"73",2,47,171,55,48,35,22,26,9,7,4,3
"74",2,48,121,47,34,22,25,13,8,2,4,1
"75",2,50,264,125,90,73,70,44,29,29,19,3
"76",2,99,973,426,405,377,439,363,241,237,239,200
