"","SEXO","EDAD_MADN","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",1,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,12,20,6,6,10,6,13,5,8,5,1
"3",1,13,140,57,44,35,34,22,10,7,6,9
"4",1,14,925,242,143,131,92,49,30,19,13,5
"5",1,15,3000,625,437,365,210,96,41,43,29,20
"6",1,16,7118,1415,938,631,374,160,103,52,54,29
"7",1,17,11715,2535,1252,878,436,219,103,80,62,43
"8",1,18,15710,2832,1456,957,559,266,117,70,58,51
"9",1,19,16899,2865,1444,998,604,307,150,89,86,45
"10",1,20,17477,2770,1515,1013,570,296,131,98,85,79
"11",1,21,16923,2656,1363,981,585,290,142,82,81,65
"12",1,22,16818,2608,1353,1001,611,271,123,95,87,60
"13",1,23,16312,2418,1304,940,543,304,138,98,73,60
"14",1,24,15377,2219,1199,893,472,225,137,94,83,61
"15",1,25,14852,1994,1089,759,482,249,135,80,62,58
"16",1,26,14040,1873,1065,746,475,205,116,99,64,40
"17",1,27,13173,1744,967,679,445,226,98,74,68,53
"18",1,28,12001,1544,871,649,380,202,99,76,74,59
"19",1,29,11347,1427,783,569,318,195,83,77,47,49
"20",1,30,10372,1223,699,491,320,173,76,66,42,33
"21",1,31,9241,1151,701,452,317,149,57,56,54,51
"22",1,32,8437,981,552,394,276,148,55,43,38,41
"23",1,33,7583,912,506,363,225,127,62,43,36,29
"24",1,34,6593,735,450,328,234,126,60,43,30,32
"25",1,35,5867,645,387,291,205,111,51,41,29,20
"26",1,36,4896,613,404,266,172,99,52,31,33,31
"27",1,37,4231,524,336,228,144,76,51,31,26,24
"28",1,38,3373,467,258,182,147,71,30,30,21,22
"29",1,39,2705,383,242,140,117,66,45,17,17,18
"30",1,40,2041,245,152,120,76,43,26,19,7,14
"31",1,41,1303,244,116,90,70,39,15,12,12,10
"32",1,42,1035,156,93,70,51,28,13,3,7,5
"33",1,43,659,87,60,52,40,27,17,7,3,6
"34",1,44,444,68,44,29,28,12,6,6,6,6
"35",1,45,258,52,31,29,15,14,6,5,1,3
"36",1,46,136,40,23,24,11,9,7,2,NA,NA
"37",1,47,79,35,17,13,13,6,NA,1,2,2
"38",1,48,44,16,12,14,10,NA,NA,2,4,2
"39",1,49,NA,NA,9,7,7,8,5,NA,NA,NA
"40",1,50,100,NA,NA,6,4,3,1,NA,NA,NA
"41",1,99,1135,621,601,545,392,355,228,277,255,220
"42",2,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"43",2,12,16,8,8,12,6,13,1,6,9,NA
"44",2,13,139,46,34,34,33,26,13,9,7,7
"45",2,14,848,224,160,128,95,44,28,24,15,10
"46",2,15,2963,613,410,369,204,94,48,32,23,23
"47",2,16,6982,1431,1023,615,376,183,76,62,39,30
"48",2,17,11232,2472,1272,818,451,221,105,66,58,29
"49",2,18,15224,2702,1434,1007,560,273,124,88,74,44
"50",2,19,16677,2715,1431,982,598,276,125,88,61,62
"51",2,20,16738,2712,1466,1018,595,281,123,108,69,56
"52",2,21,16546,2559,1371,972,530,263,136,96,74,71
"53",2,22,16094,2483,1385,979,570,277,128,82,85,51
"54",2,23,15733,2387,1373,876,522,260,120,82,59,57
"55",2,24,14768,2214,1250,886,533,232,126,91,73,56
"56",2,25,14127,2012,1176,821,454,254,103,78,68,58
"57",2,26,13558,1897,1026,818,420,229,112,75,70,61
"58",2,27,12825,1720,966,657,429,201,88,85,65,45
"59",2,28,11735,1501,792,625,399,218,99,84,63,56
"60",2,29,11048,1423,817,557,372,177,94,66,53,52
"61",2,30,10218,1272,666,524,320,198,76,53,69,49
"62",2,31,9141,1165,630,456,278,162,85,50,50,42
"63",2,32,8405,985,543,430,268,133,76,54,42,44
"64",2,33,7361,882,509,367,273,128,65,49,36,37
"65",2,34,6451,823,430,320,220,123,60,41,37,31
"66",2,35,5837,726,415,305,211,92,54,37,27,24
"67",2,36,5103,617,355,254,182,89,56,34,35,23
"68",2,37,4292,590,278,241,133,94,44,38,28,18
"69",2,38,3403,476,232,171,134,72,29,23,23,23
"70",2,39,2707,360,197,189,109,59,31,15,13,25
"71",2,40,2113,297,147,148,97,40,24,12,7,19
"72",2,41,1451,217,103,104,60,38,14,10,10,7
"73",2,42,1025,139,84,71,53,36,15,10,13,9
"74",2,43,644,104,71,60,38,24,13,6,2,8
"75",2,44,421,91,47,34,27,11,5,2,4,2
"76",2,45,264,44,30,31,27,12,11,8,4,2
"77",2,46,163,26,24,19,16,11,10,5,1,3
"78",2,47,84,31,24,12,9,NA,NA,6,3,2
"79",2,48,65,17,17,10,4,7,NA,2,1,NA
"80",2,49,28,23,NA,NA,7,8,1,NA,2,NA
"81",2,50,122,13,NA,NA,NA,NA,2,NA,3,3
"82",2,99,1086,607,563,517,361,342,244,271,235,213
