"","SEXO","EDAD_MADN","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"1",1,11,NA,NA,1,6,NA,NA,NA,NA,NA,NA
"2",1,12,17,8,8,14,4,16,11,4,6,2
"3",1,13,115,47,28,35,43,32,25,18,16,5
"4",1,14,742,197,132,152,129,89,53,28,21,14
"5",1,15,2684,596,469,423,398,238,116,57,34,36
"6",1,16,6241,1464,1062,851,660,442,208,96,86,61
"7",1,17,10699,2408,1501,1178,909,640,256,148,97,73
"8",1,18,15235,2974,1817,1469,1183,810,376,162,125,76
"9",1,19,17156,3333,1998,1642,1240,831,370,173,129,95
"10",1,20,18472,3355,2132,1716,1343,836,357,191,136,93
"11",1,21,18762,3625,2100,1650,1361,839,359,182,130,93
"12",1,22,18957,3479,1995,1590,1241,895,351,195,145,114
"13",1,23,18818,3330,1970,1544,1299,815,364,180,144,103
"14",1,24,18132,3051,1721,1447,1156,749,327,162,100,84
"15",1,25,16938,2749,1751,1449,1199,756,304,145,120,90
"16",1,26,15980,2639,1562,1283,1098,685,271,174,143,75
"17",1,27,14398,2304,1450,1197,927,651,276,150,113,83
"18",1,28,13616,2234,1315,1062,975,584,243,155,99,78
"19",1,29,12098,2037,1126,937,892,524,213,108,84,84
"20",1,30,11351,1684,1092,864,766,502,225,107,76,69
"21",1,31,9410,1642,970,755,740,457,192,105,73,58
"22",1,32,8894,1429,897,750,615,472,201,124,71,53
"23",1,33,7916,1379,824,641,608,404,172,111,73,39
"24",1,34,7070,1223,717,583,562,341,181,85,54,48
"25",1,35,6022,1106,706,580,484,310,150,100,58,34
"26",1,36,5045,995,620,505,428,278,136,78,63,42
"27",1,37,4264,838,545,424,406,250,116,64,46,28
"28",1,38,3968,832,456,396,345,234,104,61,47,35
"29",1,39,3177,600,323,288,265,184,75,45,36,19
"30",1,40,2332,473,318,258,208,170,67,37,35,31
"31",1,41,1629,427,263,182,182,118,65,32,17,12
"32",1,42,1368,272,235,171,133,89,39,24,20,9
"33",1,43,978,257,159,122,146,81,39,21,17,8
"34",1,44,632,191,115,94,78,59,18,13,4,6
"35",1,45,419,92,92,71,60,29,17,11,8,5
"36",1,46,267,90,60,39,31,26,10,11,8,4
"37",1,47,163,61,40,36,18,18,9,8,3,2
"38",1,48,122,42,27,NA,27,27,14,7,NA,3
"39",1,49,88,32,24,19,10,NA,NA,NA,3,8
"40",1,50,270,118,85,93,65,39,33,27,32,15
"41",1,99,1232,483,355,386,408,398,255,193,182,174
"42",2,11,NA,NA,NA,NA,1,NA,NA,NA,NA,5
"43",2,12,23,9,6,7,10,12,7,8,7,3
"44",2,13,96,54,33,31,41,37,24,10,12,7
"45",2,14,703,178,148,153,149,113,50,26,22,15
"46",2,15,2576,603,500,410,398,264,120,59,53,32
"47",2,16,6046,1420,1003,847,661,444,218,102,86,63
"48",2,17,10486,2454,1461,1221,1017,632,266,131,98,81
"49",2,18,14749,2951,1798,1445,1174,750,325,179,125,86
"50",2,19,16431,3269,1980,1551,1322,835,357,197,135,103
"51",2,20,17768,3380,2199,1707,1307,860,371,173,115,100
"52",2,21,18062,3538,2165,1680,1353,909,366,202,125,87
"53",2,22,18514,3344,2072,1571,1263,869,337,176,112,111
"54",2,23,18067,3164,1915,1513,1276,840,332,180,109,93
"55",2,24,17384,3024,1822,1417,1183,768,345,157,125,85
"56",2,25,16289,2862,1665,1351,1145,675,303,149,106,84
"57",2,26,15474,2673,1642,1347,1069,660,312,147,123,94
"58",2,27,13913,2322,1390,1122,982,650,272,136,124,91
"59",2,28,13389,2225,1342,1034,938,625,270,145,84,75
"60",2,29,12103,1925,1133,961,861,533,242,133,84,64
"61",2,30,10767,1631,1074,903,771,517,216,130,94,64
"62",2,31,9347,1633,949,776,704,454,179,112,81,46
"63",2,32,8868,1453,855,689,652,410,202,96,79,55
"64",2,33,7734,1351,879,687,590,405,144,117,68,57
"65",2,34,6773,1240,756,622,514,393,150,99,70,44
"66",2,35,5936,1086,676,598,488,320,132,96,56,49
"67",2,36,5005,987,612,516,398,267,127,69,44,40
"68",2,37,4243,882,491,467,374,256,97,64,57,36
"69",2,38,3995,795,461,418,359,216,112,60,39,24
"70",2,39,3167,645,356,311,254,192,96,57,42,33
"71",2,40,2379,493,308,247,225,157,78,36,27,26
"72",2,41,1617,400,270,192,172,119,60,28,28,12
"73",2,42,1376,316,188,175,132,121,44,30,23,6
"74",2,43,996,241,150,133,121,66,41,26,15,9
"75",2,44,700,191,120,99,77,44,25,6,13,10
"76",2,45,398,123,88,64,67,43,17,11,12,4
"77",2,46,227,68,49,52,45,17,9,7,7,5
"78",2,47,165,68,44,29,25,19,12,6,2,3
"79",2,48,143,46,25,35,33,14,11,5,3,1
"80",2,49,84,30,27,21,13,14,4,NA,7,2
"81",2,50,271,138,89,81,65,60,31,25,27,19
"82",2,99,1146,400,376,407,382,380,238,178,168,164
"83",9,99,NA,NA,NA,NA,NA,NA,NA,NA,2,1
