"","SEXO","EDAD_MADN","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1",1,11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"2",1,12,36,5,6,8,16,14,9,4,9,6
"3",1,13,138,61,37,43,65,31,9,12,13,5
"4",1,14,819,256,180,175,163,85,36,20,9,18
"5",1,15,2864,741,539,576,273,141,73,45,36,27
"6",1,16,6825,1702,1149,952,490,239,154,72,35,27
"7",1,17,11236,2759,1627,1265,715,331,155,86,52,39
"8",1,18,15727,3156,1802,1421,844,378,193,97,62,75
"9",1,19,17780,3490,1946,1618,874,453,204,128,91,61
"10",1,20,18725,3548,2138,1772,1009,464,240,152,116,69
"11",1,21,18425,3426,2163,1781,960,507,234,135,95,68
"12",1,22,18352,3481,2065,1693,937,454,215,157,102,74
"13",1,23,17697,3279,1791,1581,889,455,211,140,99,67
"14",1,24,17324,3060,1784,1540,812,445,210,133,87,65
"15",1,25,16114,2789,1643,1478,816,414,197,124,91,49
"16",1,26,15270,2679,1632,1373,718,399,177,103,79,61
"17",1,27,14237,2346,1473,1248,685,344,163,119,73,53
"18",1,28,13106,2244,1280,1120,603,326,143,104,73,55
"19",1,29,12555,1994,1189,1047,564,293,141,108,63,47
"20",1,30,11417,1728,1127,991,480,243,151,82,55,44
"21",1,31,10266,1557,1007,853,447,243,106,73,55,38
"22",1,32,9559,1415,859,733,394,231,112,73,48,34
"23",1,33,8512,1352,722,671,381,206,98,67,37,35
"24",1,34,7484,1215,659,640,316,184,87,63,35,27
"25",1,35,6217,984,539,543,299,147,91,52,38,28
"26",1,36,5206,893,561,479,232,120,84,38,40,15
"27",1,37,4280,691,411,402,222,115,53,38,21,20
"28",1,38,3593,622,359,332,172,72,49,39,23,20
"29",1,39,2806,494,264,284,163,70,51,25,14,17
"30",1,40,2272,372,232,231,142,75,34,24,19,11
"31",1,41,1546,312,196,183,94,53,32,19,17,8
"32",1,42,1166,262,148,150,75,38,24,19,7,4
"33",1,43,747,184,114,107,54,32,18,15,11,7
"34",1,44,458,120,81,61,31,22,16,7,2,6
"35",1,45,300,76,42,43,31,11,7,8,4,2
"36",1,46,175,65,31,35,27,14,6,8,6,2
"37",1,47,100,33,29,27,21,11,5,3,3,NA
"38",1,48,NA,30,12,14,10,4,5,4,NA,NA
"39",1,49,59,14,9,NA,NA,7,3,2,1,1
"40",1,50,195,62,NA,6,NA,NA,3,2,3,1
"41",1,99,1136,687,767,842,702,629,345,288,297,291
"42",2,11,NA,1,NA,NA,4,NA,NA,NA,NA,NA
"43",2,12,44,7,5,6,8,13,14,3,8,5
"44",2,13,130,59,55,33,56,28,16,14,15,6
"45",2,14,807,252,178,184,130,59,39,24,24,16
"46",2,15,2712,734,538,532,306,159,70,44,32,23
"47",2,16,6458,1633,1135,943,529,236,123,72,43,27
"48",2,17,11084,2677,1566,1272,635,295,140,89,50,37
"49",2,18,15312,3184,1905,1365,759,419,195,139,68,56
"50",2,19,16965,3341,2012,1550,887,444,206,144,86,53
"51",2,20,18264,3576,2157,1754,946,464,233,147,82,73
"52",2,21,17813,3446,2082,1645,869,467,230,146,93,66
"53",2,22,17741,3436,2055,1671,873,464,230,140,91,61
"54",2,23,17336,3179,1939,1673,875,465,210,125,78,68
"55",2,24,16700,3092,1884,1607,819,445,231,125,96,64
"56",2,25,15644,2705,1741,1488,730,406,191,120,96,64
"57",2,26,14808,2546,1655,1407,729,402,171,115,88,56
"58",2,27,13714,2350,1510,1231,715,327,161,104,69,52
"59",2,28,12958,2263,1329,1107,591,315,147,101,81,55
"60",2,29,12181,1955,1214,1025,513,279,141,109,52,51
"61",2,30,11432,1765,1101,975,484,278,119,95,68,41
"62",2,31,10135,1554,1020,890,482,260,119,82,51,46
"63",2,32,9105,1503,853,777,406,234,117,63,36,36
"64",2,33,8083,1253,824,725,373,200,98,60,28,29
"65",2,34,7217,1178,685,630,331,211,96,49,34,30
"66",2,35,5950,1022,598,543,263,126,91,53,35,23
"67",2,36,5269,824,529,488,262,141,81,39,41,27
"68",2,37,4259,739,412,385,203,139,67,31,24,23
"69",2,38,3500,622,336,342,179,103,39,29,21,19
"70",2,39,2766,523,303,288,147,89,52,23,20,13
"71",2,40,2163,421,260,222,128,73,36,29,8,13
"72",2,41,1592,327,202,180,114,58,31,18,12,11
"73",2,42,1166,244,161,146,62,47,28,18,11,6
"74",2,43,771,182,119,126,51,43,17,11,10,7
"75",2,44,494,126,80,71,44,19,13,11,7,5
"76",2,45,266,71,59,50,43,16,11,5,3,4
"77",2,46,165,61,50,34,28,15,6,10,6,2
"78",2,47,113,34,36,27,17,12,9,2,NA,NA
"79",2,48,63,14,23,19,9,6,4,2,1,NA
"80",2,49,37,19,NA,15,9,NA,NA,1,2,1
"81",2,50,192,74,10,8,4,NA,NA,NA,NA,1
"82",2,99,1062,626,686,810,712,552,299,306,317,245
"83",9,99,3,8,6,NA,NA,NA,NA,NA,NA,NA
