"","SEXO","EDAD_MADN","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1",1,12,13,8,13,5,3,8,6,8,7,18
"2",1,13,139,57,55,26,34,24,13,11,12,14
"3",1,14,842,213,208,176,115,66,38,30,18,15
"4",1,15,2845,645,625,435,252,115,70,35,26,27
"5",1,16,6554,1422,1252,745,431,221,107,71,31,56
"6",1,17,11343,2402,1777,1044,609,296,161,79,58,48
"7",1,18,15122,2660,2010,1162,632,358,169,83,52,55
"8",1,19,16306,2906,2065,1262,699,382,179,102,67,63
"9",1,20,17182,2870,2274,1334,747,410,215,131,66,78
"10",1,21,17216,3063,2282,1355,747,407,198,117,81,82
"11",1,22,16890,2863,2126,1345,735,404,230,111,78,84
"12",1,23,16701,2742,2102,1277,682,417,203,132,86,90
"13",1,24,15813,2582,1914,1194,669,352,155,116,64,91
"14",1,25,15270,2374,1882,1092,650,368,192,98,82,71
"15",1,26,13959,2193,1766,940,538,299,187,111,56,78
"16",1,27,13167,2005,1628,974,532,306,158,89,66,66
"17",1,28,12325,1837,1458,821,528,289,139,94,58,59
"18",1,29,11524,1628,1302,708,447,264,135,86,65,51
"19",1,30,10653,1539,1186,638,422,240,121,62,54,44
"20",1,31,9369,1392,1038,577,360,224,130,62,50,48
"21",1,32,8605,1260,936,575,349,198,104,59,43,31
"22",1,33,7811,1073,806,461,332,187,99,51,36,31
"23",1,34,6891,926,748,423,300,145,84,63,28,32
"24",1,35,5946,820,720,393,266,126,86,58,26,35
"25",1,36,4900,708,588,339,231,122,65,40,26,25
"26",1,37,4206,560,493,260,150,116,57,31,17,26
"27",1,38,3277,495,421,222,138,99,56,35,16,14
"28",1,39,2651,408,315,177,133,72,33,18,19,11
"29",1,40,2004,312,286,143,99,69,46,15,13,10
"30",1,41,1441,257,221,129,65,49,13,20,11,8
"31",1,42,1038,180,136,82,39,36,22,14,11,12
"32",1,43,707,130,111,72,51,22,20,8,4,10
"33",1,44,437,88,105,40,34,18,10,8,6,6
"34",1,45,243,55,56,39,30,21,6,2,2,3
"35",1,46,132,42,51,29,26,10,3,5,3,4
"36",1,99,1155,722,742,741,638,499,334,286,236,337
"37",2,12,16,7,7,6,9,15,6,5,6,7
"38",2,13,143,63,55,32,31,20,19,13,3,20
"39",2,14,812,175,197,196,126,46,31,17,22,18
"40",2,15,2681,635,597,458,227,109,65,37,31,29
"41",2,16,6307,1443,1242,816,405,205,101,71,29,33
"42",2,17,10686,2348,1709,1051,536,289,159,102,51,51
"43",2,18,14711,2681,1958,1197,637,345,167,117,47,61
"44",2,19,15790,2798,2122,1247,709,381,194,105,69,54
"45",2,20,16477,2898,2265,1264,725,445,186,111,84,77
"46",2,21,17042,2825,2278,1265,796,450,231,115,64,86
"47",2,22,16587,2836,2182,1353,745,399,188,132,79,69
"48",2,23,16203,2674,2116,1137,659,406,196,118,61,77
"49",2,24,15376,2505,1985,1185,625,363,205,115,86,68
"50",2,25,14617,2389,1868,1013,671,350,188,107,87,75
"51",2,26,13491,2224,1756,1032,610,336,150,88,75,73
"52",2,27,12751,2059,1563,906,588,304,166,99,53,76
"53",2,28,12066,1776,1492,814,482,285,151,82,44,65
"54",2,29,11239,1580,1309,713,413,254,124,70,44,51
"55",2,30,10358,1476,1183,679,418,243,118,66,57,52
"56",2,31,9144,1336,1101,629,370,191,106,72,40,37
"57",2,32,8582,1236,991,573,337,195,100,70,42,33
"58",2,33,7686,1044,887,498,298,157,89,42,39,37
"59",2,34,6576,912,815,469,266,156,72,47,29,30
"60",2,35,5902,823,738,401,231,143,77,38,33,28
"61",2,36,4775,694,614,327,209,128,45,37,22,31
"62",2,37,4113,617,501,290,188,121,55,34,35,10
"63",2,38,3096,492,463,216,159,93,54,25,16,16
"64",2,39,2462,394,340,187,120,69,37,31,10,14
"65",2,40,2042,282,271,160,100,61,34,18,11,11
"66",2,41,1507,247,223,127,65,52,21,14,6,10
"67",2,42,1028,193,191,86,81,42,20,15,8,10
"68",2,43,677,159,110,85,38,24,13,21,6,5
"69",2,44,438,97,98,54,30,22,15,13,7,6
"70",2,45,257,55,45,22,28,8,11,11,9,4
"71",2,46,172,42,47,26,21,11,8,2,5,1
"72",2,99,1110,729,691,771,583,443,321,345,248,322
