"","SEXO","EDAD_MADN","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"1",1,12,20,3,4,3,15,23,17,15,12,6
"2",1,13,73,26,45,32,46,34,23,21,17,14
"3",1,14,495,126,116,113,126,140,65,43,22,26
"4",1,15,1929,431,408,309,391,278,137,76,55,46
"5",1,16,4957,1186,949,661,682,545,262,146,113,64
"6",1,17,9567,2007,1502,1011,1016,904,374,199,126,87
"7",1,18,15184,2681,1935,1359,1413,1191,485,232,174,131
"8",1,19,17331,3159,2182,1680,1775,1429,552,295,202,163
"9",1,20,18630,3187,2501,1924,1737,1461,596,300,188,143
"10",1,21,18147,3649,2667,1861,1794,1567,610,299,216,157
"11",1,22,20043,3669,2506,1813,1662,1487,608,350,213,152
"12",1,23,19274,3325,2283,1576,1625,1404,572,294,174,144
"13",1,24,18118,3019,2157,1612,1463,1357,551,284,198,133
"14",1,25,16651,2774,1985,1416,1569,1285,521,300,173,132
"15",1,26,15869,2675,1881,1451,1312,1272,505,291,183,161
"16",1,27,14506,2460,1778,1278,1205,1200,532,273,193,120
"17",1,28,13636,2348,1565,1072,1143,1058,490,261,145,108
"18",1,29,12247,2048,1319,1075,995,989,461,200,146,98
"19",1,30,11228,1649,1264,960,966,899,410,232,145,108
"20",1,31,9480,1864,1280,1004,992,922,418,230,127,94
"21",1,32,9522,1553,1152,858,840,854,404,168,123,84
"22",1,33,7601,1436,978,776,759,665,308,148,86,74
"23",1,34,6891,1328,914,701,683,634,297,125,81,73
"24",1,35,6291,1191,849,648,627,555,266,135,95,61
"25",1,36,5674,1101,803,598,507,508,231,137,88,68
"26",1,37,4694,1000,711,454,463,423,230,116,70,56
"27",1,38,4014,800,487,353,399,370,183,97,52,35
"28",1,39,3232,613,431,341,326,329,168,92,72,42
"29",1,40,2633,467,376,277,301,272,119,78,40,38
"30",1,41,1800,478,353,261,279,237,144,68,42,29
"31",1,42,1654,313,272,180,194,171,87,66,30,24
"32",1,43,1009,250,172,127,139,106,61,24,11,14
"33",1,44,815,199,135,96,123,104,45,14,17,12
"34",1,45,596,128,88,101,76,56,34,14,10,7
"35",1,46,311,108,70,57,53,47,38,14,10,8
"36",1,47,234,82,51,43,40,39,20,11,9,6
"37",1,48,165,54,30,29,36,28,16,16,7,8
"38",1,49,108,33,22,24,17,30,12,4,5,2
"39",1,50,400,135,131,98,107,101,53,41,21,18
"40",1,99,1118,444,351,380,450,512,359,240,192,151
"41",2,12,13,7,6,6,12,21,15,9,8,12
"42",2,13,70,26,23,28,28,44,30,13,11,15
"43",2,14,434,148,132,116,121,132,65,40,21,20
"44",2,15,1787,438,439,327,333,327,141,78,61,41
"45",2,16,4698,1128,943,689,697,576,270,143,104,67
"46",2,17,9064,2007,1498,1066,955,884,372,209,113,94
"47",2,18,14266,2661,1836,1246,1423,1227,479,242,152,118
"48",2,19,16323,2959,2196,1664,1674,1410,540,292,209,153
"49",2,20,17746,3143,2402,1826,1726,1494,598,316,198,130
"50",2,21,17426,3582,2567,1871,1710,1512,630,302,215,151
"51",2,22,18647,3520,2561,1823,1664,1508,591,320,195,155
"52",2,23,18503,3280,2266,1586,1550,1416,630,291,191,137
"53",2,24,17537,3023,2163,1577,1603,1405,508,263,208,133
"54",2,25,16578,2788,2089,1435,1496,1292,551,299,168,130
"55",2,26,15273,2686,1934,1459,1365,1141,515,272,181,133
"56",2,27,14091,2423,1872,1241,1224,1185,475,236,162,128
"57",2,28,13182,2286,1480,1043,1153,1092,460,245,169,119
"58",2,29,11675,1983,1353,1074,999,976,440,212,152,115
"59",2,30,11136,1645,1399,994,962,884,351,216,160,110
"60",2,31,9194,1905,1333,929,1027,864,455,243,149,104
"61",2,32,9280,1555,1146,879,810,846,386,182,111,81
"62",2,33,7445,1397,1095,662,735,697,317,172,80,67
"63",2,34,6768,1376,875,659,684,662,302,170,98,72
"64",2,35,6312,1148,886,673,661,527,208,136,86,72
"65",2,36,5568,1063,809,629,569,509,262,118,84,52
"66",2,37,4667,953,714,470,437,462,245,141,81,44
"67",2,38,4199,824,562,353,420,425,196,91,65,45
"68",2,39,3211,646,426,341,351,353,151,87,69,39
"69",2,40,2628,500,419,326,306,256,132,64,48,29
"70",2,41,1793,489,362,264,276,242,111,64,35,24
"71",2,42,1630,328,283,220,182,196,94,50,24,25
"72",2,43,1050,235,182,133,133,125,55,24,17,15
"73",2,44,728,204,136,128,109,95,52,24,21,8
"74",2,45,576,134,110,76,83,63,26,16,10,8
"75",2,46,321,82,68,77,50,58,25,22,7,11
"76",2,47,214,87,58,33,39,36,17,13,6,8
"77",2,48,167,54,39,26,33,32,16,11,7,6
"78",2,49,128,49,21,18,30,33,7,4,8,3
"79",2,50,368,140,111,97,128,114,63,31,33,21
"80",2,99,1038,433,329,322,440,472,296,212,172,143
