"","SEXO","EDAD_MADN","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"1",1,11,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,12,15,8,7,11,14,18,16,15,22,15
"3",1,13,140,60,47,55,64,50,35,27,33,32
"4",1,14,798,242,182,212,208,117,72,54,38,30
"5",1,15,2826,711,598,575,491,254,144,76,49,52
"6",1,16,6551,1715,1200,974,780,423,243,98,97,80
"7",1,17,11346,2785,1620,1426,1147,576,282,167,115,85
"8",1,18,16005,3356,2058,1646,1408,742,342,188,101,109
"9",1,19,17790,3471,2204,1953,1506,784,408,199,131,121
"10",1,20,19301,3762,2402,1960,1532,818,361,220,149,124
"11",1,21,19185,3860,2391,1928,1479,771,390,206,152,132
"12",1,22,18930,3717,2320,1713,1404,737,350,205,142,111
"13",1,23,18713,3444,2268,1697,1397,760,329,178,126,117
"14",1,24,18173,3277,2046,1556,1272,668,323,194,143,112
"15",1,25,17214,2928,1908,1464,1224,649,322,157,128,127
"16",1,26,16290,2770,1773,1413,1115,556,281,171,114,99
"17",1,27,15060,2549,1675,1197,1014,593,310,175,131,101
"18",1,28,14365,2360,1585,1114,955,518,258,157,98,84
"19",1,29,12509,2063,1382,1035,848,471,217,138,111,76
"20",1,30,11656,1852,1307,939,789,459,213,116,72,65
"21",1,31,9530,1666,1150,822,661,401,194,117,60,58
"22",1,32,8892,1537,1048,747,619,408,184,105,59,45
"23",1,33,7717,1337,866,638,587,342,168,91,61,56
"24",1,34,6924,1217,834,639,558,290,184,73,60,44
"25",1,35,6120,1135,729,567,522,302,149,81,49,47
"26",1,36,5157,975,728,431,426,211,132,60,39,37
"27",1,37,4395,886,601,405,351,223,113,50,41,32
"28",1,38,3709,702,455,370,324,184,98,59,29,25
"29",1,39,2990,590,360,321,294,146,92,51,41,31
"30",1,40,2531,542,389,290,230,150,74,48,25,22
"31",1,41,1728,423,334,217,184,113,68,38,25,7
"32",1,42,1216,290,210,171,151,97,44,36,7,8
"33",1,43,873,238,141,116,111,56,48,10,13,12
"34",1,44,570,172,125,83,88,38,18,17,5,5
"35",1,45,413,118,82,50,60,38,10,12,4,7
"36",1,46,245,78,68,50,44,19,12,9,4,6
"37",1,47,126,52,43,23,20,22,10,7,4,6
"38",1,48,104,NA,29,17,23,20,NA,5,4,3
"39",1,49,76,30,17,NA,NA,NA,8,7,2,NA
"40",1,50,204,89,77,67,81,55,30,29,NA,2
"41",1,99,1014,527,515,521,562,505,418,274,295,279
"42",2,11,NA,NA,1,NA,NA,NA,NA,18,NA,NA
"43",2,12,26,14,8,8,16,24,13,29,25,16
"44",2,13,137,46,42,46,64,34,22,24,29,20
"45",2,14,773,233,164,194,203,121,60,47,43,29
"46",2,15,2693,664,498,487,486,248,107,67,54,41
"47",2,16,6306,1617,1143,985,809,456,199,120,78,61
"48",2,17,10957,2631,1734,1411,1099,626,298,164,108,87
"49",2,18,15371,3230,2025,1698,1359,722,326,201,143,121
"50",2,19,17256,3481,2269,1788,1438,769,368,205,133,116
"51",2,20,18556,3654,2481,1977,1548,843,353,209,135,146
"52",2,21,18403,3727,2504,1880,1442,791,356,203,153,102
"53",2,22,18337,3621,2257,1745,1397,765,382,221,139,120
"54",2,23,18242,3388,2255,1694,1444,711,339,187,133,114
"55",2,24,17272,3107,2029,1621,1329,653,288,188,123,99
"56",2,25,16758,2911,2006,1459,1233,663,299,170,114,119
"57",2,26,15862,2758,1811,1313,1071,590,274,153,109,98
"58",2,27,14728,2561,1704,1279,1048,590,248,154,100,91
"59",2,28,13889,2399,1605,1108,956,536,253,166,103,78
"60",2,29,12098,2098,1419,969,841,498,225,136,82,62
"61",2,30,11460,1913,1336,1017,830,431,228,110,97,79
"62",2,31,9588,1715,1155,818,707,410,178,118,62,73
"63",2,32,8789,1491,1041,717,638,371,200,100,61,66
"64",2,33,7725,1348,937,634,582,326,177,90,45,46
"65",2,34,6824,1153,855,613,529,297,145,80,54,48
"66",2,35,5991,1068,817,544,486,267,128,70,57,47
"67",2,36,5219,992,708,534,470,287,127,73,48,38
"68",2,37,4271,891,606,448,356,225,120,67,46,34
"69",2,38,3577,721,506,360,327,194,107,50,49,37
"70",2,39,2878,627,408,318,274,173,98,45,24,27
"71",2,40,2495,527,400,283,244,148,86,47,18,22
"72",2,41,1691,448,290,217,178,102,70,35,19,16
"73",2,42,1304,296,198,146,130,94,46,21,10,13
"74",2,43,844,234,142,105,101,60,24,21,13,8
"75",2,44,591,152,121,81,78,47,23,15,7,1
"76",2,45,400,107,75,69,54,36,15,13,6,6
"77",2,46,236,62,59,39,27,25,17,7,7,4
"78",2,47,145,52,45,34,31,14,9,6,2,9
"79",2,48,92,42,24,19,17,14,9,4,6,1
"80",2,49,65,29,17,15,14,NA,10,6,NA,1
"81",2,50,233,96,76,62,78,38,26,28,2,1
"82",2,99,1008,525,474,509,543,474,427,249,307,257
"83",9,99,NA,NA,NA,NA,NA,NA,198,4,3,NA
