"","SEXO","EDAD_MADN","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"1",1,12,42,4,9,14,16,17,15,23,19,14
"2",1,13,343,25,20,33,45,55,33,22,22,19
"3",1,14,1487,137,109,123,110,150,71,43,44,21
"4",1,15,4211,423,339,340,326,335,151,84,64,55
"5",1,16,8021,1101,794,743,625,541,271,155,117,106
"6",1,17,14700,2048,1330,1058,947,983,422,244,125,107
"7",1,18,15820,2520,1646,1435,1328,1218,541,299,201,153
"8",1,19,18770,2860,1774,1731,1546,1366,551,312,194,145
"9",1,20,17296,3114,2227,2002,1695,1500,668,315,213,174
"10",1,21,18421,3356,2221,2016,1536,1386,671,325,240,142
"11",1,22,18986,3390,2119,1886,1512,1380,584,323,210,138
"12",1,23,18080,3133,1963,1720,1486,1315,631,308,198,160
"13",1,24,17501,2868,1852,1635,1402,1371,620,311,213,143
"14",1,25,15613,2678,1808,1564,1431,1247,568,323,179,153
"15",1,26,14393,2566,1701,1538,1197,1118,555,322,192,129
"16",1,27,13619,2411,1606,1318,1114,1121,495,277,204,124
"17",1,28,11315,2233,1302,1096,1054,1035,501,300,170,108
"18",1,29,12948,1826,1173,1136,916,949,464,264,159,121
"19",1,30,8655,1730,1289,1139,1011,1027,455,275,194,135
"20",1,31,8820,1677,1141,1007,816,776,395,253,139,91
"21",1,32,7557,1337,991,835,658,766,365,217,120,81
"22",1,33,6633,1359,906,784,741,663,331,185,112,65
"23",1,34,6587,1317,773,773,624,644,293,148,109,62
"24",1,35,5634,1219,880,693,633,524,288,181,92,71
"25",1,36,4402,1062,705,642,465,459,241,133,90,67
"26",1,37,4299,966,625,474,369,362,212,115,69,47
"27",1,38,3179,773,444,381,339,377,178,101,65,49
"28",1,39,3352,587,376,379,295,322,168,89,61,44
"29",1,40,1651,490,387,371,291,338,160,92,68,42
"30",1,41,1586,420,298,260,225,199,130,70,43,26
"31",1,42,1114,274,218,203,171,166,73,61,27,21
"32",1,43,771,254,162,123,128,156,72,25,20,18
"33",1,44,712,208,127,122,100,94,49,24,8,12
"34",1,45,337,150,119,95,93,68,37,20,16,15
"35",1,46,217,136,65,61,44,39,28,12,16,8
"36",1,47,217,75,44,23,30,39,22,11,5,5
"37",1,48,113,64,35,31,23,20,19,13,4,5
"38",1,49,108,34,25,26,21,19,15,10,3,3
"39",1,50,47,129,129,103,97,80,55,41,29,22
"40",1,99,1352,432,363,329,396,544,376,241,207,181
"41",2,12,32,2,1,9,13,20,12,23,25,18
"42",2,13,325,23,21,32,21,61,43,23,28,21
"43",2,14,1399,90,80,99,111,126,79,51,50,23
"44",2,15,3834,387,360,371,328,311,125,93,94,63
"45",2,16,7804,998,801,762,588,579,257,162,119,70
"46",2,17,14081,1888,1301,1115,921,894,416,237,156,130
"47",2,18,15141,2588,1589,1468,1345,1241,523,291,179,137
"48",2,19,18253,2833,1766,1758,1512,1444,549,342,208,162
"49",2,20,16432,2980,2161,2030,1655,1456,645,338,224,187
"50",2,21,18088,3182,2275,1975,1585,1519,629,331,219,168
"51",2,22,18501,3324,2162,1891,1461,1474,590,352,232,151
"52",2,23,17613,3215,1979,1715,1478,1352,614,312,214,140
"53",2,24,16630,2836,1863,1716,1450,1389,578,341,218,165
"54",2,25,14918,2655,1785,1557,1404,1291,536,316,201,170
"55",2,26,13834,2406,1594,1570,1214,1101,562,318,192,129
"56",2,27,13221,2300,1619,1292,1057,1138,546,308,177,106
"57",2,28,11396,2113,1365,1107,1104,1019,541,252,153,128
"58",2,29,12887,1790,1146,1162,938,906,467,261,166,104
"59",2,30,8505,1733,1275,1117,1051,1010,479,297,195,121
"60",2,31,8437,1715,1093,1022,854,849,415,232,136,82
"61",2,32,7398,1350,969,903,678,770,368,239,134,84
"62",2,33,6517,1408,927,824,707,681,352,197,114,76
"63",2,34,6448,1362,849,818,680,641,280,164,102,69
"64",2,35,5711,1181,763,728,649,557,247,163,95,74
"65",2,36,4264,1049,727,641,469,471,247,133,96,66
"66",2,37,4411,908,638,498,389,389,192,150,78,63
"67",2,38,3045,853,472,375,398,365,199,118,63,51
"68",2,39,3231,649,339,397,317,348,180,86,59,29
"69",2,40,1621,494,399,368,333,292,165,79,59,36
"70",2,41,1630,449,267,265,249,227,105,75,43,30
"71",2,42,1130,328,242,205,168,175,75,50,30,18
"72",2,43,755,265,148,165,132,133,73,40,18,19
"73",2,44,652,188,137,142,117,102,56,24,20,15
"74",2,45,376,135,103,103,80,61,38,16,12,12
"75",2,46,219,115,78,80,55,35,19,10,11,8
"76",2,47,213,70,45,35,31,29,13,12,9,7
"77",2,48,122,46,39,35,23,26,18,11,6,6
"78",2,49,102,42,20,16,21,24,13,8,3,6
"79",2,50,40,150,117,113,122,101,69,44,27,20
"80",2,99,1327,464,321,370,379,486,332,235,158,157
