"","SEXO","EDAD_MADN","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005"
"1",1,12,14,8,6,7,11,20,4,9,2,5
"2",1,13,101,51,28,36,47,41,23,10,10,7
"3",1,14,633,194,149,159,161,121,73,33,28,18
"4",1,15,2415,642,453,445,409,296,154,74,48,29
"5",1,16,5759,1425,999,877,757,515,253,92,82,50
"6",1,17,10625,2578,1450,1188,1085,808,329,139,100,89
"7",1,18,15280,3154,1836,1573,1436,975,440,171,118,97
"8",1,19,17281,3504,2056,1801,1621,1090,468,211,125,95
"9",1,20,18624,3633,2288,1971,1714,1062,450,216,163,121
"10",1,21,18817,3868,2314,2001,1663,1097,505,228,169,119
"11",1,22,19683,3960,2220,1964,1640,1135,478,248,160,105
"12",1,23,20126,3850,2264,1908,1626,1094,504,232,126,121
"13",1,24,18515,3483,2060,1736,1524,1087,479,210,134,115
"14",1,25,17611,3195,1954,1646,1505,992,471,245,149,123
"15",1,26,15651,3023,1858,1519,1322,939,434,177,127,98
"16",1,27,14535,2723,1630,1383,1243,892,383,172,128,76
"17",1,28,13567,2519,1474,1233,1140,791,383,177,109,80
"18",1,29,12450,2352,1360,1280,1040,746,369,177,108,68
"19",1,30,11917,2049,1318,1198,968,758,316,171,117,57
"20",1,31,9337,1983,1191,1104,894,659,320,143,106,73
"21",1,32,9176,1635,1062,937,840,626,299,129,92,68
"22",1,33,8085,1599,971,854,804,577,290,113,77,50
"23",1,34,6872,1410,888,870,689,534,221,96,91,59
"24",1,35,6751,1422,817,754,677,496,221,110,76,41
"25",1,36,5783,1225,711,724,576,427,184,94,56,40
"26",1,37,4586,1058,589,515,439,303,183,73,59,36
"27",1,38,4262,810,562,442,400,294,132,65,48,36
"28",1,39,3232,708,444,399,373,251,131,74,35,25
"29",1,40,2791,602,425,364,326,243,107,60,34,26
"30",1,41,1850,524,308,297,291,182,87,41,19,16
"31",1,42,1468,404,265,244,176,136,66,38,18,6
"32",1,43,1016,295,168,170,136,112,43,17,9,17
"33",1,44,728,206,114,124,108,81,34,16,8,9
"34",1,45,524,151,115,113,85,62,26,10,12,9
"35",1,46,284,97,66,62,57,42,26,12,6,5
"36",1,47,198,77,41,45,27,20,13,12,6,3
"37",1,50,333,155,87,106,109,74,40,36,13,14
"38",1,99,1220,539,383,424,444,434,340,188,173,148
"39",2,12,14,7,8,12,13,10,7,7,8,7
"40",2,13,96,45,35,29,55,44,24,14,9,7
"41",2,14,624,178,137,146,148,111,66,28,27,22
"42",2,15,2343,592,396,402,401,305,147,68,52,35
"43",2,16,5463,1489,948,813,754,552,219,97,79,43
"44",2,17,10081,2505,1465,1244,1134,728,343,152,97,78
"45",2,18,14753,3189,1844,1551,1415,980,435,169,123,101
"46",2,19,16631,3490,1966,1764,1566,1039,489,187,133,125
"47",2,20,18256,3596,2162,1960,1653,1102,476,220,170,117
"48",2,21,18529,3848,2319,2023,1546,1119,510,239,134,113
"49",2,22,19147,3834,2270,1891,1647,1147,475,228,128,97
"50",2,23,19881,3783,2274,1775,1589,1201,492,234,151,104
"51",2,24,17843,3335,1986,1710,1483,1046,459,242,137,90
"52",2,25,17043,3185,1929,1748,1463,970,443,217,120,99
"53",2,26,15329,2989,1707,1594,1243,873,432,209,108,98
"54",2,27,14139,2736,1663,1356,1177,799,391,182,129,81
"55",2,28,13259,2430,1452,1207,1072,779,368,187,125,78
"56",2,29,12300,2284,1330,1285,1053,763,379,162,106,90
"57",2,30,11860,1992,1330,1234,1079,712,358,168,98,78
"58",2,31,9350,1988,1163,1107,940,742,321,132,87,77
"59",2,32,9015,1731,1097,944,826,634,332,141,78,67
"60",2,33,7839,1598,956,909,801,575,275,113,90,39
"61",2,34,6892,1509,850,782,728,502,245,111,72,57
"62",2,35,6700,1368,954,774,707,458,214,116,69,43
"63",2,36,5538,1183,744,668,546,397,201,75,73,54
"64",2,37,4477,1029,637,560,402,334,161,75,38,40
"65",2,38,4166,929,483,444,408,343,167,61,35,28
"66",2,39,3254,732,425,414,339,258,134,64,34,27
"67",2,40,2684,617,423,366,287,224,114,57,30,32
"68",2,41,1787,517,312,336,202,165,79,44,25,23
"69",2,42,1458,367,260,229,176,142,76,35,16,16
"70",2,43,1069,301,202,191,153,121,55,19,21,15
"71",2,44,690,191,117,102,105,55,49,15,15,10
"72",2,45,541,147,107,90,73,63,28,22,12,7
"73",2,46,297,123,84,67,49,40,22,12,7,5
"74",2,47,179,69,60,37,35,33,15,8,6,3
"75",2,48,148,45,41,33,19,25,13,3,6,4
"76",2,49,91,37,27,22,18,22,10,3,4,4
"77",2,50,318,157,103,120,122,90,45,21,19,16
"78",2,99,1121,544,400,390,460,441,308,199,165,129
