"","SEXO","EDAD_MADN","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998"
"1",1,10,NA,NA,NA,NA,3,10,NA,NA,3,36
"2",1,11,11,1,NA,NA,NA,4,8,3,NA,14
"3",1,12,35,9,10,6,11,14,11,7,9,9
"4",1,13,284,65,50,18,40,36,41,14,8,27
"5",1,14,1203,193,125,99,107,149,66,28,25,30
"6",1,15,3745,559,621,289,316,306,146,84,61,42
"7",1,16,7182,1525,888,627,617,600,269,148,121,92
"8",1,17,12912,1916,1365,916,868,970,387,215,132,115
"9",1,18,14403,2640,1399,1154,1286,1299,515,249,196,142
"10",1,19,16818,2260,1813,1482,1435,1365,517,275,233,171
"11",1,20,14863,2732,1853,1575,1560,1443,600,305,230,189
"12",1,21,17075,2948,1963,1589,1455,1413,616,296,236,174
"13",1,22,17928,2947,1893,1551,1476,1483,593,307,219,182
"14",1,23,17191,2855,1660,1449,1477,1444,556,297,239,165
"15",1,24,15845,2350,1535,1378,1303,1518,530,288,200,163
"16",1,25,14015,2206,1535,1303,1322,1178,463,273,232,163
"17",1,26,12488,2153,1280,1285,1111,1136,492,262,206,155
"18",1,27,13103,1817,1499,1024,979,1053,448,265,189,142
"19",1,28,11458,2135,1000,1050,1124,1108,462,279,219,144
"20",1,29,11550,1158,1017,967,854,1090,396,202,191,138
"21",1,30,7052,1404,906,831,899,848,345,232,163,152
"22",1,31,8140,1243,822,830,828,813,374,186,166,112
"23",1,32,6984,1201,855,739,728,828,336,181,150,92
"24",1,33,6276,1321,765,652,735,724,328,177,122,112
"25",1,34,6141,986,599,665,667,682,281,155,114,86
"26",1,35,4997,813,732,595,570,479,208,119,95,85
"27",1,36,3888,963,452,543,487,424,224,114,94,72
"28",1,37,4712,715,599,406,352,425,204,112,83,61
"29",1,38,3235,853,314,405,418,425,222,129,89,60
"30",1,39,2874,335,344,320,319,343,159,77,61,63
"31",1,40,1351,472,297,245,258,301,126,85,71,38
"32",1,41,1517,295,229,263,221,208,121,66,37,20
"33",1,42,1107,233,220,227,179,203,87,49,37,18
"34",1,43,796,249,150,132,177,153,56,39,19,30
"35",1,44,694,162,99,119,123,92,48,37,27,9
"36",1,45,372,102,96,81,100,81,32,15,14,15
"37",1,46,243,106,47,61,44,40,21,17,14,8
"38",1,47,249,50,47,44,26,42,14,12,11,9
"39",1,48,114,54,32,20,27,27,19,14,9,3
"40",1,49,115,14,26,22,30,23,15,10,3,4
"41",1,50,44,22,15,98,101,94,51,25,20,24
"42",1,99,1379,449,376,298,330,392,282,276,208,167
"43",2,10,8,NA,NA,NA,5,5,NA,8,NA,NA
"44",2,11,11,2,NA,NA,3,NA,4,NA,NA,11
"45",2,12,31,9,10,5,6,12,18,8,10,15
"46",2,13,218,62,42,19,31,41,16,11,17,10
"47",2,14,1239,171,129,73,111,148,58,32,29,23
"48",2,15,3578,572,586,272,310,325,129,94,64,54
"49",2,16,6898,1463,889,624,585,614,270,158,110,84
"50",2,17,12186,1820,1369,842,894,948,380,194,138,118
"51",2,18,13787,2557,1341,1113,1191,1245,538,297,191,149
"52",2,19,16402,2181,1812,1459,1453,1470,568,318,236,167
"53",2,20,14180,2708,1902,1560,1543,1529,540,301,199,170
"54",2,21,16323,2788,1816,1559,1458,1426,596,289,262,166
"55",2,22,17408,2778,1885,1502,1492,1507,544,341,224,167
"56",2,23,16476,2725,1662,1432,1466,1492,598,314,217,179
"57",2,24,15865,2333,1532,1378,1370,1515,566,260,230,169
"58",2,25,13652,2107,1557,1269,1348,1270,465,285,223,164
"59",2,26,12342,2223,1231,1290,1145,1060,451,275,206,152
"60",2,27,12937,1822,1443,1067,981,1092,442,231,193,134
"61",2,28,11263,2186,1044,1074,1074,1201,460,260,189,158
"62",2,29,11282,1188,1071,1012,903,1022,462,225,173,134
"63",2,30,6900,1501,953,842,865,927,389,217,145,144
"64",2,31,7962,1217,838,790,832,795,411,194,158,101
"65",2,32,6881,1171,924,858,753,791,351,203,139,102
"66",2,33,6147,1261,847,728,758,789,337,168,110,96
"67",2,34,5959,1102,631,653,724,665,263,147,145,89
"68",2,35,4948,814,762,582,572,524,180,125,121,75
"69",2,36,3859,983,504,560,436,442,223,119,101,72
"70",2,37,4545,687,614,454,391,428,181,134,90,49
"71",2,38,3280,816,321,388,404,431,213,105,81,58
"72",2,39,3042,329,332,339,289,370,170,89,85,74
"73",2,40,1374,430,250,242,289,282,119,86,56,40
"74",2,41,1591,298,205,252,248,228,123,59,52,24
"75",2,42,1096,229,241,188,169,226,86,61,31,23
"76",2,43,837,262,152,152,182,148,80,46,27,17
"77",2,44,674,123,87,130,108,135,43,21,17,12
"78",2,45,369,96,102,81,79,66,38,31,14,14
"79",2,46,209,86,37,62,48,38,33,11,5,14
"80",2,47,244,53,45,46,27,53,17,11,11,7
"81",2,48,148,63,21,23,25,29,24,8,13,14
"82",2,49,116,16,25,24,22,23,12,8,5,4
"83",2,50,30,29,14,103,106,106,50,34,32,19
"84",2,99,1271,472,358,306,316,376,250,244,179,163
