"","SEXO","EDAD_MADN","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"1",1,10,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,11,NA,1,NA,NA,5,1,NA,NA,NA,NA
"3",1,12,15,12,4,3,10,10,8,8,4,5
"4",1,13,92,52,31,34,47,43,28,14,5,8
"5",1,14,672,211,147,159,158,105,55,32,20,20
"6",1,15,2312,602,513,403,371,243,105,64,47,26
"7",1,16,5692,1352,1099,794,721,490,215,106,79,36
"8",1,17,9919,2258,1556,1114,1004,718,310,152,108,71
"9",1,18,14510,2836,1897,1429,1291,892,360,194,114,81
"10",1,19,16890,3239,2155,1724,1462,967,390,177,133,95
"11",1,20,18045,3249,2344,1794,1520,974,379,205,131,95
"12",1,21,17780,3535,2415,1784,1500,1055,422,207,139,110
"13",1,22,18768,3404,2405,1729,1336,985,356,208,133,95
"14",1,23,19045,3452,2289,1608,1328,983,418,199,122,92
"15",1,24,17999,3120,2178,1565,1350,971,406,216,135,91
"16",1,25,16511,2890,2140,1440,1263,859,363,202,119,91
"17",1,26,15401,2661,1914,1474,1181,846,354,180,104,75
"18",1,27,14491,2500,1729,1232,1044,836,373,146,135,69
"19",1,28,13024,2195,1551,1125,964,713,316,140,118,77
"20",1,29,12007,2029,1418,1076,881,673,302,159,88,66
"21",1,30,11512,1865,1368,1031,854,640,291,147,93,60
"22",1,31,9468,1748,1262,947,800,586,248,136,85,64
"23",1,32,9257,1587,1173,816,724,569,239,133,78,60
"24",1,33,7974,1427,1070,747,689,555,242,120,78,52
"25",1,34,7030,1261,930,712,598,487,233,99,59,51
"26",1,35,5899,1142,873,639,565,381,161,100,55,48
"27",1,36,5772,1097,772,598,515,379,175,91,66,30
"28",1,37,4622,919,664,496,390,329,140,75,53,32
"29",1,38,3790,793,550,389,345,259,114,57,34,26
"30",1,39,3262,640,478,372,315,215,98,44,33,31
"31",1,40,2624,493,395,312,265,202,92,46,39,19
"32",1,41,1808,479,357,277,230,163,64,40,22,15
"33",1,42,1461,336,255,215,155,137,79,26,24,15
"34",1,43,947,286,184,139,138,102,48,30,21,10
"35",1,44,688,177,138,136,110,67,30,12,13,9
"36",1,45,442,145,92,84,69,49,21,11,8,3
"37",1,46,332,107,66,58,56,40,22,8,7,5
"38",1,47,181,56,63,40,46,19,10,5,5,2
"39",1,48,121,41,34,25,34,NA,4,8,5,6
"40",1,49,82,34,20,10,21,21,5,NA,NA,NA
"41",1,50,279,117,115,103,88,77,38,26,16,14
"42",1,99,1238,464,448,377,418,439,238,167,166,145
"43",2,11,NA,3,NA,NA,NA,NA,2,NA,NA,NA
"44",2,12,15,9,10,9,6,12,11,6,4,5
"45",2,13,79,49,31,32,37,42,12,19,6,11
"46",2,14,567,177,139,149,156,113,43,32,31,8
"47",2,15,2139,574,443,413,375,245,115,76,48,37
"48",2,16,5414,1297,1087,822,695,499,227,126,78,45
"49",2,17,9633,2229,1538,1147,1055,716,291,147,107,67
"50",2,18,13986,2756,1936,1452,1302,858,354,208,108,79
"51",2,19,16070,3142,2150,1548,1404,998,361,181,148,81
"52",2,20,17453,3301,2509,1796,1524,1021,438,220,147,77
"53",2,21,17447,3357,2438,1691,1489,988,385,219,155,90
"54",2,22,18174,3326,2397,1620,1504,1045,416,224,141,91
"55",2,23,18119,3248,2313,1659,1400,978,381,215,124,99
"56",2,24,17632,3133,2193,1667,1371,986,399,170,131,92
"57",2,25,16073,2803,1969,1508,1278,891,373,188,124,77
"58",2,26,14946,2692,1953,1392,1224,816,340,195,104,94
"59",2,27,14148,2364,1791,1250,1051,843,316,170,106,83
"60",2,28,12678,2175,1602,1101,921,721,321,147,118,76
"61",2,29,11671,1994,1414,1059,928,679,298,153,96,56
"62",2,30,11149,1868,1362,985,852,683,270,142,95,69
"63",2,31,9225,1726,1283,1010,848,566,280,140,84,57
"64",2,32,8953,1569,1112,845,764,629,212,136,87,54
"65",2,33,7695,1397,1064,757,663,510,223,114,77,52
"66",2,34,6840,1285,950,692,559,490,206,110,59,44
"67",2,35,5748,1175,868,547,586,428,185,84,62,49
"68",2,36,5708,1110,885,586,478,419,167,88,61,38
"69",2,37,4580,986,713,460,451,332,119,60,40,27
"70",2,38,3840,753,568,364,382,283,122,61,32,29
"71",2,39,3044,660,484,382,332,259,100,48,42,19
"72",2,40,2522,506,423,305,275,195,106,50,34,23
"73",2,41,1849,488,367,278,221,172,74,39,23,24
"74",2,42,1556,355,263,194,189,148,57,27,22,13
"75",2,43,1025,241,180,134,130,99,36,13,16,10
"76",2,44,716,182,135,119,100,77,28,21,9,7
"77",2,45,449,126,103,74,75,47,21,14,6,4
"78",2,46,310,102,84,46,38,42,18,10,9,1
"79",2,47,182,58,52,42,35,36,10,5,1,3
"80",2,48,135,42,29,25,25,21,9,4,7,3
"81",2,49,104,21,33,22,26,10,8,4,2,NA
"82",2,50,266,124,132,104,107,84,38,23,15,24
"83",2,99,1135,412,421,367,381,436,250,190,159,143
