"","SEXO","EDAD_MADN","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,12,13,14,7,10,10,6,5,4,5,NA
"3",1,13,128,48,38,40,34,13,12,8,8,3
"4",1,14,818,230,131,137,90,41,17,15,19,7
"5",1,15,2949,613,468,354,179,82,50,33,21,12
"6",1,16,7021,1412,944,591,327,155,77,42,26,21
"7",1,17,11512,2301,1241,840,406,212,90,62,56,24
"8",1,18,16259,2505,1422,860,488,245,125,69,58,28
"9",1,19,16438,2519,1429,937,502,222,128,95,70,15
"10",1,20,17419,2583,1481,985,504,271,148,77,72,24
"11",1,21,16514,2455,1400,902,458,272,139,85,72,23
"12",1,22,16174,2372,1334,852,528,276,122,92,64,22
"13",1,23,15648,2124,1283,885,447,259,128,86,58,21
"14",1,24,15187,2005,1197,824,475,241,105,97,68,29
"15",1,25,14578,1911,1088,777,417,218,141,70,58,22
"16",1,26,13466,1737,1024,696,414,203,121,85,59,29
"17",1,27,12293,1575,921,607,361,187,99,87,65,22
"18",1,28,11706,1460,829,579,349,171,105,74,64,26
"19",1,29,10832,1293,750,507,324,177,92,69,61,16
"20",1,30,9999,1124,652,492,311,188,86,81,57,23
"21",1,31,8868,1070,639,435,274,147,77,49,41,15
"22",1,32,8180,987,528,372,234,129,74,51,51,17
"23",1,33,7211,843,522,370,210,128,65,54,29,10
"24",1,34,6304,716,467,303,185,102,62,39,27,20
"25",1,35,5686,633,404,276,175,91,55,34,42,11
"26",1,36,4894,608,393,270,141,80,39,38,34,10
"27",1,37,4003,505,339,200,126,79,46,21,17,12
"28",1,38,3703,400,270,178,116,61,37,28,15,5
"29",1,39,2826,342,206,148,84,49,33,21,18,8
"30",1,40,1889,269,189,112,86,56,24,22,17,3
"31",1,41,1347,201,145,98,63,35,25,17,10,7
"32",1,42,940,135,92,71,45,32,11,13,16,3
"33",1,43,598,98,65,54,25,20,10,9,7,3
"34",1,44,352,64,61,32,18,11,6,8,4,NA
"35",1,45,212,40,39,27,6,16,4,3,6,3
"36",1,46,126,20,21,22,8,9,13,NA,NA,3
"37",1,47,95,26,13,12,7,NA,2,5,3,NA
"38",1,48,46,9,12,9,NA,NA,2,2,2,NA
"39",1,49,NA,9,14,6,7,8,NA,NA,NA,NA
"40",1,50,NA,NA,12,8,9,2,NA,NA,NA,NA
"41",1,99,1451,465,408,420,317,265,272,213,202,122
"42",2,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2,12,20,5,6,3,13,6,6,9,NA,1
"44",2,13,141,50,34,31,29,13,9,7,5,1
"45",2,14,827,200,164,133,84,48,27,12,10,4
"46",2,15,2921,603,463,398,182,88,61,21,28,4
"47",2,16,6607,1335,987,613,280,114,75,42,36,13
"48",2,17,11173,2227,1242,818,385,207,91,50,32,17
"49",2,18,15756,2477,1360,868,453,240,111,67,73,29
"50",2,19,15945,2463,1384,1003,476,244,110,80,60,21
"51",2,20,16846,2381,1504,952,546,261,123,76,62,31
"52",2,21,16327,2463,1348,953,500,264,129,70,71,13
"53",2,22,15584,2423,1329,854,454,263,126,82,88,22
"54",2,23,14968,2207,1251,852,448,245,122,81,66,27
"55",2,24,14800,2033,1246,797,488,239,120,72,64,23
"56",2,25,13866,1924,1119,780,422,225,119,77,63,17
"57",2,26,13040,1656,1050,683,394,200,114,86,62,15
"58",2,27,12101,1569,920,599,361,189,111,71,62,18
"59",2,28,11421,1418,876,619,341,185,116,71,60,36
"60",2,29,10394,1289,757,526,310,185,104,74,45,21
"61",2,30,9827,1164,729,522,291,152,102,76,53,18
"62",2,31,8532,1070,666,429,252,143,99,70,41,22
"63",2,32,7922,952,546,425,237,136,69,57,48,23
"64",2,33,6942,823,529,356,233,109,71,49,38,14
"65",2,34,5932,749,444,300,201,118,58,40,20,15
"66",2,35,5419,678,400,275,175,90,45,41,30,9
"67",2,36,4753,599,333,267,141,76,48,36,21,16
"68",2,37,3931,496,309,209,116,77,37,40,18,9
"69",2,38,3648,410,278,178,139,72,31,36,30,7
"70",2,39,2693,319,203,167,98,55,33,16,19,10
"71",2,40,1810,221,149,107,69,46,24,17,24,5
"72",2,41,1321,206,134,98,60,36,16,19,15,4
"73",2,42,909,142,103,56,57,39,19,15,7,2
"74",2,43,574,83,73,43,36,20,12,8,4,2
"75",2,44,371,60,44,32,17,17,8,4,4,NA
"76",2,45,199,44,30,24,21,9,6,2,8,2
"77",2,46,125,36,22,19,7,6,6,4,7,3
"78",2,47,53,24,18,19,NA,NA,2,1,1,NA
"79",2,48,56,10,13,8,8,NA,4,1,NA,NA
"80",2,49,39,NA,NA,7,4,4,NA,1,NA,NA
"81",2,50,101,NA,NA,NA,NA,1,NA,2,1,NA
"82",2,99,1402,488,404,405,291,265,212,203,174,123
