"","SEXO","EDAD_MADN","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004"
"1",1,12,10,3,8,4,10,16,10,5,6,3
"2",1,13,77,32,35,31,40,35,34,22,10,8
"3",1,14,596,173,153,128,155,123,54,43,28,19
"4",1,15,2244,591,488,396,407,341,138,78,40,37
"5",1,16,5516,1482,986,739,762,513,261,128,83,51
"6",1,17,10136,2464,1635,1192,1092,831,376,155,105,69
"7",1,18,14858,2997,1917,1422,1392,968,437,223,122,90
"8",1,19,16532,3442,2128,1753,1711,1083,527,249,136,88
"9",1,20,18214,3571,2450,1816,1763,1194,517,246,155,98
"10",1,21,18135,3965,2543,1871,1806,1197,524,244,171,122
"11",1,22,19278,4042,2571,1862,1760,1242,483,269,164,113
"12",1,23,19032,3675,2260,1654,1674,1205,526,248,133,93
"13",1,24,18230,3401,2229,1728,1726,1225,505,257,138,98
"14",1,25,16900,3022,2032,1552,1516,1013,487,229,145,103
"15",1,26,15010,2890,1939,1477,1329,1003,418,200,132,89
"16",1,27,14060,2744,1761,1319,1206,924,377,221,128,83
"17",1,28,13167,2664,1631,1151,1272,847,422,222,120,88
"18",1,29,12338,2345,1403,1175,1189,857,366,177,116,74
"19",1,30,11643,1933,1392,1070,1052,836,362,176,99,76
"20",1,31,8941,1901,1221,955,1026,725,357,176,99,71
"21",1,32,8673,1608,1195,925,876,630,296,159,82,60
"22",1,33,7534,1452,1058,755,816,611,345,162,72,58
"23",1,34,7323,1510,1003,804,748,625,294,143,92,58
"24",1,35,6417,1295,896,664,686,471,225,113,75,57
"25",1,36,4954,1170,783,569,580,374,214,86,57,43
"26",1,37,4501,1015,702,476,465,365,184,87,54,33
"27",1,38,4012,901,579,413,458,339,164,92,57,32
"28",1,39,3238,721,464,420,391,278,148,66,48,25
"29",1,40,2679,571,418,347,344,248,121,63,47,23
"30",1,41,1646,467,270,256,267,177,103,49,23,12
"31",1,42,1430,375,226,187,186,153,72,43,15,20
"32",1,43,975,264,209,128,151,115,65,31,17,10
"33",1,44,812,221,130,130,123,96,62,21,12,13
"34",1,45,492,122,91,89,96,59,26,14,11,5
"35",1,46,276,106,64,49,53,32,20,8,8,4
"36",1,47,190,91,52,45,40,29,18,6,6,3
"37",1,50,327,132,120,88,101,98,53,29,18,15
"38",1,99,1056,554,464,407,447,440,316,217,145,146
"39",2,12,18,10,6,7,14,14,5,9,9,3
"40",2,13,90,38,45,36,38,35,38,13,11,11
"41",2,14,638,179,140,139,167,129,57,36,25,24
"42",2,15,2198,531,458,396,384,288,140,85,27,31
"43",2,16,5196,1407,1041,809,774,557,271,134,78,52
"44",2,17,9539,2372,1605,1208,1194,804,379,196,120,84
"45",2,18,14105,3023,1959,1442,1509,1038,399,220,140,89
"46",2,19,15832,3505,2198,1660,1635,1175,513,244,154,90
"47",2,20,17592,3376,2399,1851,1773,1150,523,280,133,107
"48",2,21,17587,3809,2633,1931,1737,1192,495,245,175,117
"49",2,22,19135,3894,2501,1907,1704,1278,536,267,147,122
"50",2,23,18152,3598,2284,1647,1652,1167,474,240,131,111
"51",2,24,17710,3387,2257,1604,1678,1187,444,249,160,100
"52",2,25,16341,3078,2172,1528,1632,1134,456,236,133,114
"53",2,26,14605,2744,1877,1484,1402,957,428,199,119,83
"54",2,27,13742,2716,1847,1246,1297,852,420,232,112,91
"55",2,28,12866,2455,1678,1179,1221,878,377,233,114,94
"56",2,29,11926,2266,1480,1183,1211,827,395,200,128,86
"57",2,30,11317,1925,1455,1030,1055,808,350,196,97,82
"58",2,31,8784,1915,1260,984,1085,709,356,161,115,59
"59",2,32,8539,1594,1233,926,852,676,323,168,85,60
"60",2,33,7613,1545,1047,794,810,620,315,134,77,65
"61",2,34,7498,1524,1051,799,847,615,293,143,83,62
"62",2,35,6240,1264,855,693,685,487,206,117,60,48
"63",2,36,5081,1113,782,551,599,395,194,111,76,36
"64",2,37,4456,1051,734,501,498,402,181,82,53,30
"65",2,38,3884,925,617,421,472,310,165,86,47,33
"66",2,39,3285,740,495,409,424,325,136,71,39,33
"67",2,40,2548,557,438,318,327,228,119,68,29,21
"68",2,41,1589,441,359,275,251,176,85,59,22,18
"69",2,42,1443,365,263,211,203,161,81,42,19,9
"70",2,43,1014,272,187,143,165,133,45,32,16,13
"71",2,44,779,227,140,131,142,96,40,14,16,10
"72",2,45,512,132,99,71,82,50,32,20,14,7
"73",2,46,252,109,71,66,53,48,24,15,9,4
"74",2,47,194,73,47,36,42,27,15,2,4,4
"75",2,48,144,49,31,24,29,20,17,5,4,5
"76",2,49,81,30,29,26,14,22,12,6,4,2
"77",2,50,355,146,142,105,109,88,48,28,24,14
"78",2,99,1041,503,434,374,423,482,280,206,160,132
